,id_comision,nombre
0,312,ASUNTOS INTERNACIONALES CSS817390 %8010 %0 %00Detalle
1,430,CONSTITUCIÓN Y LEGISLACIÓN A.G.1111100 %000 %0 %00Detalle
2,1152,ESPECIAL PARA LA DESIGNACIÓN DE LOS MIEMBROS DEL CONSEJO DE COMUNICACIÓN AUDIOVI A.G.1010100 %000 %0 %00Detalle
3,1120,ESPECIAL: PARTIDOS POLÍTICOS. FINANCIACIÓN Y PUBLICIDAD ELECTORAL. CSS232191 %209 %0 %00Detalle
4,336,"GANADERÍA, AGRICULTURA Y PESCA CSS373492 %308 %0 %00Detalle"
5,1155,"INTEGRADA: Industria, Energía, Comercio, Turismo y Servicios y Medio Ambiente CSS11100 %000 %0 %00Detalle"
6,1104,INTEGRADA: PRESUPUESTO CON HACIENDA CSS282693 %207 %0 %00Detalle
7,354,MEDIO AMBIENTE CSS535196 %204 %0 %00Detalle
8,927,"POBLACIÓN, DESARROLLO E INCLUSIÓN CSS868295 %405 %0 %00Detalle"
9,322,PRESUPUESTO CSS66100 %000 %0 %00Detalle
10,347,SALUD PÚBLICA CSS727097 %101 %0 %01Detalle
