,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,138855,2018-03-13,CSS,ENTRADA,,
1,138855,2018-03-14,CSS,ENTRADA,COMISION,927.0
2,138855,2019-04-08,CSS,TRATAMIENTO,COMISION,927.0
0,125838,2015-08-05,CSS,ENTRADA,,
1,125838,2015-08-05,CSS,ENTRADA,COMISION,331.0
2,125838,2015-08-12,CSS,APRUEBA,,
0,133055,2016-12-07,CRR,ENTRADA,,
1,133055,2016-12-07,CRR,ENTRADA,COMISION,75.0
2,133055,2017-04-26,CRR,TRATAMIENTO,COMISION,75.0
3,133055,2017-06-27,CRR,TRATAMIENTO,COMISION,75.0
4,133055,2017-11-01,CRR,TRATAMIENTO,COMISION,75.0
5,133055,2017-11-08,CRR,TRATAMIENTO,COMISION,75.0
0,138666,2018-03-06,CRR,ENTRADA,,
1,138666,2018-03-06,CRR,ENTRADA,COMISION,63.0
2,138666,2018-06-05,CRR,TRATAMIENTO,COMISION,63.0
0,132439,2016-10-31,CRR,ENTRADA,,
1,132439,2016-10-31,CRR,ENTRADA,COMISION,82.0
0,137958,2017-12-19,CSS,ENTRADA,,
1,137958,2017-12-19,CSS,ENTRADA,COMISION,336.0
0,142492,2019-02-14,CSS,ENTRADA,,
1,142492,2019-02-26,CSS,ENTRADA,COMISION,317.0
0,129569,2016-05-10,CRR,ENTRADA,,
1,129569,2016-05-10,CRR,ENTRADA,COMISION,75.0
2,129569,2017-05-03,CRR,TRATAMIENTO,COMISION,75.0
3,129569,2017-05-24,CRR,TRATAMIENTO,COMISION,75.0
4,129569,2017-06-07,CRR,APRUEBA,COMISION,75.0
5,129569,2017-10-03,CRR,APRUEBA,,
6,129569,2017-10-06,CSS,ENTRADA,,
7,129569,2017-10-10,CSS,ENTRADA,COMISION,317.0
8,129569,2018-05-16,CSS,TRATAMIENTO,COMISION,317.0
9,129569,2018-05-16,CSS,APRUEBA,COMISION,317.0
10,129569,2018-06-06,CSS,APRUEBA,,
11,129569,2018-07-02,P.E.,APRUEBA,LEY,19626.0
0,129435,2016-05-03,CRR,ENTRADA,,
1,129435,2016-05-03,CRR,ENTRADA,COMISION,218.0
2,129435,2016-07-11,CRR,TRATAMIENTO,COMISION,1092.0
3,129435,2016-08-15,CRR,TRATAMIENTO,COMISION,1092.0
0,133860,2017-03-14,CRR,ENTRADA,,
1,133860,2017-03-14,CRR,ENTRADA,COMISION,75.0
0,141548,2018-10-16,CRR,ENTRADA,,
1,141548,2018-10-16,CRR,ENTRADA,COMISION,212.0
2,141548,2018-11-06,CRR,TRATAMIENTO,COMISION,212.0
3,141548,2018-12-04,CRR,TRATAMIENTO,COMISION,212.0
4,141548,2018-12-11,CRR,TRATAMIENTO,COMISION,212.0
5,141548,2018-12-13,CRR,TRATAMIENTO,COMISION,212.0
0,133874,2017-03-14,CSS,ENTRADA,,
1,133874,2017-03-15,CSS,ENTRADA,COMISION,314.0
0,125025,2015-06-16,CRR,ENTRADA,,
1,125025,2015-06-16,CRR,ENTRADA,COMISION,218.0
0,125024,2015-06-16,CRR,ENTRADA,,
1,125024,2015-06-16,CRR,ENTRADA,COMISION,78.0
2,125024,2015-08-12,CRR,TRATAMIENTO,COMISION,78.0
3,125024,2017-03-29,CRR,TRATAMIENTO,COMISION,78.0
4,125024,2017-04-19,CRR,TRATAMIENTO,COMISION,78.0
5,125024,2017-04-26,CRR,TRATAMIENTO,COMISION,78.0
6,125024,2017-05-17,CRR,TRATAMIENTO,COMISION,78.0
7,125024,2017-05-31,CRR,TRATAMIENTO,COMISION,78.0
0,136064,2017-08-04,CRR,ENTRADA,,
1,136064,2017-08-04,CRR,ENTRADA,COMISION,75.0
0,125018,2015-06-16,CSS,ENTRADA,,
1,125018,2015-06-17,CSS,ENTRADA,COMISION,311.0
2,125018,2015-07-21,CSS,TRATAMIENTO,COMISION,311.0
3,125018,2015-07-28,CSS,TRATAMIENTO,COMISION,311.0
4,125018,2015-08-11,CSS,TRATAMIENTO,COMISION,311.0
5,125018,2015-09-15,CSS,APRUEBA,COMISION,311.0
6,125018,2015-10-06,CSS,TRATAMIENTO,COMISION,311.0
