,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,UDELAR*
1,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MEF*
2,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,BCU*
3,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,BHU*
4,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,BROU*
5,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,BSE*
6,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MINISTERIO INTERIOR
7,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MRREE*
8,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,ANTEL*
9,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MTOP*
10,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,AFE*
11,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,ANP*
12,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,OSE*
13,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,ANCAP*
14,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,UTE*
15,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,BPS*
16,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,ASSE*
17,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MGAP*
18,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,INC*
19,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MINISTERIO TURISMO
20,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,INAU*
21,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MEC*
22,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,ONSC*
23,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MVOTMA*
24,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,ANEP*
25,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,OPP*
26,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,ANC*
27,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MSP*
28,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MTSS*
29,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MDN*
30,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MIEM*
31,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,JUTEP*
32,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,MIDES*
33,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,ANV*
34,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,UTEC*
35,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,INUMET*
36,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,FISCALIA GENERAL NACION
37,10003,JUICIOS CONTRA ESTADO. INFORMES.,2018-10-03,141458,INISA*
38,10003,PRODUCTORES AGROPECUARIOS. ENDEUDAMIENTO. DEVOLUCIÓN IMPUESTOS. INFORMES.,2018-08-02,140680,BROU*
39,10003,PRODUCTORES AGROPECUARIOS. ENDEUDAMIENTO. DEVOLUCIÓN IMPUESTOS. INFORMES.,2018-08-02,140680,DGI*
40,10003,LOTERIAS Y QUINIELAS. SUBAGENTES. COMISIONES. PAGO. DETERMINACIÓN. INFORMES,2018-04-03,139090,DIRECCION NACIONAL LOTERIAS Y QUINIELAS
41,10003,TORNADO. DOLORES (SORIANO). CENTROS EDUCATIVOS. RECONSTRUCCIÓN. INFORMES,2018-03-19,138939,ANEP*
42,10003,FUNCIONARIOS PÚBLICOS EXCEDENTARIOS. INFORMES,2016-06-09,130524,ONSC*
43,10003,PENSION DISCAPACIDAD. TRAMITE. DEMORA. INFORMES,2015-07-07,125359,MTSS*
44,10003,HOSPITAL MERCEDES (SORIANO). EMERGENCIAS. FUNCIONAMIENTO. INFORMES.,2015-06-03,124900,MSP*
45,10003,ASSE. EMERGENCIA MOVIL YOUNG (RIO NEGRO). CONVENIO COBERTURA MEDICA A DOMICILIO. IMPLEMENTACION. INFORMES.,2015-06-02,124897,MSP*
