,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,922,LAGUNA GARZÓN (MALDONADO). PLAN URBANIZACIÓN. INFORMES.,2019-03-19,142934,DINAMA*
1,922,RAMBLA PUNTA COLORADA Y SAN FRANCISCO (MALDONADO). OBRAS. INFORMES.,2018-08-22,140941,MVOTMA*
2,922,RAMBLA PUNTA COLORADA Y SAN FRANCISCO (MALDONADO). OBRAS. INFORMES.,2018-08-14,140790,MTOP*
3,922,PUERTO MONTEVIDEO. MUELLE C. EXTENSIÓN. OBRA. INFORMES.,2018-07-03,140336,ANP*
4,922,"AGENCIA NACIONAL VIVIENDA. PUBLICIDAD, PROMOCIONES Y ESTUDIOS OPINIÓN. GASTOS. INFORMES.",2018-06-20,140174,ANV*
5,922,LA PALOMA (ROCHA). PADRONES. DESAFECTACIÓN. DESTINO. INFORMES.,2018-06-11,140071,MTOP*
6,922,HOTEL ENJOY (EX CONRAD) - BALUMA SA. CONTRATO DE CONCESIÓN. INFORMES.,2018-05-15,139702,MEF*
7,922,BOVINOS. ENFERMEDADES PREVALENTES. SEGURO. INFORMES.,2018-05-08,139573,MGAP*
8,922,ANTEL. DIRECTORIO. SALARIO. TARJETAS CORPORATIVAS. USO. INFORMES.,2018-05-02,139486,ANTEL*
9,922,ANTEL ARENA. OBRAS. ESTADO DE SITUACIÓN. INFORMES.,2018-05-02,139487,ANTEL*
10,922,FIBRA ÓPTICA. CABLE SUBMARINO. CONEXIÓN. INFORMES.,2018-05-02,139488,ANTEL*
11,922,ENCUESTA NACIONAL DE VICTIMIZACIÓN. INFORMES.,2018-04-03,139045,MINISTERIO INTERIOR
12,922,TERMINAL GRANELERA. PUERTO FRAY BENTOS (RÍO NEGRO). ADJUDICACIÓN. RAMAL FERROVIARIO ALGORTA-FRAY BENTOS (RÍO NEGRO). CONSTRUCCIÓN. LICITACIÓN. INFORMES.,2018-03-21,138978,MTOP*
13,922,TERMINAL GRANELERA. PUERTO FRAY BENTOS (RÍO NEGRO). ADJUDICACIÓN. RAMAL FERROVIARIO ALGORTA-FRAY BENTOS (RÍO NEGRO). CONSTRUCCIÓN. LICITACIÓN. INFORMES.,2018-03-21,138978,AFE*
14,922,TERMINAL GRANELERA. PUERTO FRAY BENTOS (RÍO NEGRO). ADJUDICACIÓN. RAMAL FERROVIARIO ALGORTA-FRAY BENTOS (RÍO NEGRO). CONSTRUCCIÓN. LICITACIÓN. INFORMES.,2018-03-21,138978,ANP*
15,922,INDA. ASISTENCIA ALIMENTARIA Y NUTRICIONAL. CRUZ DE CARRASCO (MVDEO). INFORMES.,2018-03-21,138979,INDA*
16,922,MONTEVIDEO. ZONA 8. DESARROLLO BARRIAL. PLANES. INFORMES.,2018-03-20,138952,MTOP*
17,922,MONTEVIDEO. ZONA 8. POBLACIÓN VULNERABLE. ATENCIÓN. INFORMES.,2018-03-20,138955,MIDES*
