,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,2965,TRIBUNAL ALZADA Y TRIBUNAL ESPECIAL HONOR. OFICIALES SUPERIRORES EJÉRCITO. ACTUACIONES. INFORMES.,2019-04-04,143116,MDN*
1,2965,VENEZUELA. AYUDA HUMANITARIA. GRUPO DE CONTACTO INTERNACIONAL. INFORMES.,2019-02-11,142482,MRREE*
2,2965,CUMBRE LIDERES GRUPO G20. AERONAVES OFICIALES DE RUSIA Y ARABIA SAUDITA. INGRESO AL PAIS. INFORMES.,2018-12-05,142087,MEF*
3,2965,CUMBRE LIDERES GRUPO G20. AERONAVES OFICIALES DE RUSIA Y ARABIA SAUDITA. INGRESO AL PAIS. INFORMES.,2018-12-05,142087,MINISTERIO INTERIOR
4,2965,CUMBRE LIDERES GRUPO G20. AERONAVES OFICIALES DE RUSIA Y ARABIA SAUDITA. INGRESO AL PAIS. INFORMES.,2018-12-05,142087,MDN*
5,2965,ANGIÓGRAFO. ASISTENCIAL MÉDICA DE MALDONADO. INSTALACIÓN. INFORMES.,2018-11-13,141838,MSP*
6,2965,AVION PRESIDENCIAL MULTIPROPOSITO HAWKER C29. VUELOS SANITARIOS Y OTROS. CANTIDAD. INFORMES,2018-07-31,140639,MDN*
7,2965,DEPENDENCIAS POLICIALES. ASALTOS PERÍODO 2016 A LA FECHA. INFORMES.,2018-06-12,140083,MINISTERIO INTERIOR
8,2965,CÓDIGO PROCESO PENAL. CAMPAÑA PUBLICITARIA. IMPLEMENTACIÓN. INFORMES.,2018-06-11,140073,FISCALIA GENERAL NACION
9,2965,SALAS DE CASINO. SEGURIDAD. INFORMES.,2018-05-08,139586,DIRECCION GENERAL CASINOS
10,2965,ESCUELA TÉCNICA SAN JOSÉ DE MAYO. SITUACIÓN. INFORMES.,2018-03-19,138937,ANEP*
11,2965,NIÑOS CON HIPOACUSIA. TRANSPORTE ESCOLAR. INFORMES.,2018-03-13,138868,ANEP*
12,2965,VIRUS PAPILOMA HUMANO (HPV). VACUNACIÓN. INFORMES.,2017-10-09,136985,MSP*
13,2965,PUERTOS LA PALOMA Y PUNTA DEL ESTE. EMBARCACIONES PESQUERAS. AMARRE. PESCA COSTERA. ECOSISTEMAS. INFORMES.,2017-07-24,135879,DIRECCION NACIONAL HIDROGRAFIA
14,2965,PUERTOS LA PALOMA Y PUNTA DEL ESTE. EMBARCACIONES PESQUERAS. AMARRE. PESCA COSTERA. ECOSISTEMAS. INFORMES.,2017-07-24,135879,DINARA*
15,2965,INUNDACIONES. NORTE PAÍS. MILITARES. PARTICIPACIÓN. INFORMES,2017-07-10,135639,MDN*
16,2965,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,ARMADA NACIONAL
17,2965,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,MRREE*
18,2965,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,ANP*
19,2965,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,MGAP*
20,2965,MUNICIONES. IMPORTACIÓN. AUTORIZACIÓN. INFORMES.,2017-05-05,134691,DNA*
21,2965,MUNICIONES. IMPORTACIÓN. AUTORIZACIÓN. INFORMES.,2017-05-05,134691,MINISTERIO INTERIOR
22,2965,MUNICIONES. IMPORTACIÓN. AUTORIZACIÓN. INFORMES.,2017-05-05,134691,MDN*
23,2965,FUERZA AÉREA URUGUAYA. FLOTA DE AERONAVES. SITUACIÓN. INFORMES,2017-04-26,134562,MDN*
24,2965,AVIÓN CESSNA. UTILIZACION Y MANTENIMIENTO. INFORMES.,2017-02-07,133574,ANCAP*
25,2965,HOGARES INAU. CENTROS EDUCATIVOS. CENTROS DE SALUD. BOMBEROS. HABILITACIÓN. INFORMES.,2017-01-31,133535,DIRECCION NACIONAL BOMBEROS
26,2965,ARMADA NACIONAL. FRONTERA CON BRASIL. AGUAS TERRITORIALES. PESCA ILEGAL. CONTROL. INFORMES.,2016-11-30,132926,MDN*
27,2965,CARMELO (COLONIA). AERÓDROMO. SITUACIÓN. INFORMES.,2016-08-23,131337,MDN*
28,2965,MINISTERIO DE SALUD PÚBLICA. DENOMINACIÓN. CAMBIO. INFORMES.,2016-08-03,131040,MSP*
29,2965,HABILITACIÓN BOMBEROS. CUMPLIMIENTO. INFORMES.,2016-05-23,129826,DIRECCION NACIONAL BOMBEROS
30,2965,MINISTERIO DEL INTERIOR. EL GUARDÍAN. MARCO REGULATORIO. INFORMES.,2016-05-09,129517,MINISTERIO INTERIOR
31,2965,UTU MALDONADO. SITUACIÓN EDILICIA. INFORMES.,2016-04-25,129276,UTU*
32,2965,ASSE. AMBULANCIA. CERRO COLORADO. INFORMES,2016-04-19,129198,ASSE*
33,2965,NUEVA TELEVISIÓN DEL SUR. CONVENIO. INFORMES.,2016-04-14,129177,MEC*
34,2965,MDN. ARMADA NACIONAL. DENUNCIAS,2016-03-08,128616,MDN*
35,2965,MINISTERIO DEL INTERIOR. DEPENDENCIAS. ARMAS. ROBO. INFORMACIÓN.,2016-02-11,128309,MINISTERIO INTERIOR
36,2965,MINISTERIO DE DEFENSA NACIONAL. DEPENDENCIAS. ARMAS. ROBO. INFORMACIÓN,2016-02-11,128311,MDN*
37,2965,HOSPITAL SARANDÍ DEL YÍ. DIRECTOR. CESE. INFORMES.,2015-12-28,128001,ASSE*
38,2965,ASSE. PRESTACIÓN SERVICIOS. INFORMES.,2015-10-19,127018,ASSE*
39,2965,FRIPUR S.A. .PRESTAMOS. BROU. INFORMES.,2015-08-27,126195,BROU*
40,2965,PLUNA S.A.. COMPRA AVIONES. DEUDA ESTADO. INFORMACIÓN.,2015-08-18,126056,MEF*
41,2965,AVIÓN PRESIDENCIAL. COMPRA. INFORMES.,2015-05-22,124650,MEF*
42,2965,AVIÓN PRESIDENCIAL. COMPRA. INFORMES.,2015-05-22,124650,MDN*
43,2965,CENTROS ENSEÑANZA. ALIMENTACIÓN SALUDABLE. LEY 19.140. APLICACIÓN. INFORMES.,2015-05-15,124570,ANEP*
44,2965,CENTROS ENSEÑANZA. ALIMENTACIÓN SALUDABLE. LEY 19.140. APLICACIÓN. INFORMES.,2015-05-15,124570,MSP*
45,2965,COSTAS RÍO DE LA PLATA. PECES. MORTANDAD. CAUSAS. INFORMES.,2015-03-17,123767,MGAP*
46,2965,COSTAS RÍO DE LA PLATA. PECES. MORTANDAD. CAUSAS. INFORMES.,2015-03-17,123767,MSP*
