,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,7740,PROGRAMA URUGUAY INTEGRA. PROYECTOS PRESENTADOS RIO NEGRO (DPTO). INFORMES.,2019-04-03,143091,OPP*
1,7740,DIRECCION NACIONAL BOMBEROS.  DERRAME QUIMICOS RUTA 23 SAN JOSE (DPTO). INSPECCION PRODUCTOS PELIGROSOS. INFORMES.,2018-12-05,142068,MINISTERIO INTERIOR
2,7740,DINAMA. DERRAME QUIMICOS RUTA 23 SAN JOSE (DPTO). INSPECCION PRODUCTOS PELIGROSOS. INFORMES.,2018-12-05,142071,MVOTMA*
3,7740,COLONIAS ETCHEPARE Y SANTIN CARLOS ROSSI. SITUACION.,2018-11-06,141764,MSP*
4,7740,SANATORIO AVDA. JOSE PEDRO VARELA (MDEO.) AVANCE OBRAS. INFORMES.,2018-11-06,141751,MEF*
5,7740,PERSONAS SITUACION CALLE. REFUGIOS. FUNCIONAMIENTO. INFORMES.,2018-11-06,141761,MIDES*
6,7740,PUERTO FRAY BENTOS (RIO NEGRO). EXPORTACION AGUA. RESOLUCION DIRECTORIO ANP. INFORMES.,2018-10-02,141412,MTOP*
7,7740,EXPORTACION AGUA DESDE PUERTO FRAY BENTOS (RIO NEGRO). RESOLUCIONES DIRECTORIO OSE. INFORMES.,2018-10-02,141422,MVOTMA*
8,7740,JUZGADOS PAZ RIO NEGRO (DPTO). CIERRE. INFORMES.,2018-07-10,140431,SUPREMA CORTE JUSTICIA
9,7740,MEF. BENEFICIARIOS. MONTOS PERCIBIDOS POR APLICACION DIFERENTES LEYES. INFORMES.,2018-05-09,139613,MEF*
10,7740,MIDES. PLANES. BENEFICIARIOS. CANTIDAD. INFORMES.,2018-05-09,139627,MIDES*
11,7740,AFRODESCENDIENTES Y DISCAPACITADOS. CONTRATACION ESTADO. INFORMES.,2018-05-09,139628,ONSC*
12,7740,PROGRAMA MICROCREDITO RURAL. BENEFICIARIOS. MONTOS. CANTIDAD. INFORMES.,2018-04-03,139035,MGAP*
13,7740,ONG ULTIMO RECURSO. SUSPENSION DEL SERVICIO. MEDIDAS. PREVISION. CONTENCION. INFORMES.,2018-04-03,139058,MSP*
