,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,2945,VIOLENCIA DOMÉSTICA. VÍCTIMAS. SUBSIDIO Y GARANTÍA DE ALQUILER (LEY 17514). OTORGAMIENTO. INFORMES.,2015-08-04,125831,MIDES*
1,2945,ACTIVIDADES LABORALES BONIFICADAS. REGISTROS. NORMATIVA. INFORMES.,2015-07-21,125568,BPS*
2,2945,ASSE. CENTROS INTERNACIÓN PSIQUIÁTRICA. HABILITACIÓN. INFORMES.,2015-07-06,125310,MSP*
3,2945,CENTROS INAU Y COLONIA BERRO. MINISTERIO DE SALUD PÚBLICA. INSPECCIONES.,2015-05-13,124526,MSP*
4,2945,CENTROS INAU Y COLONIA BERRO. DIRECCIÓN NACIONAL DE  BOMBEROS. HABILITACIÓN.,2015-05-13,124524,MINISTERIO INTERIOR
5,2945,COLONIA BERRO. SITUACIÓN.,2015-05-11,124438,INAU*
6,2945,COLONIAS ETCHEPARE Y SANTÍN CARLOS ROSSI. SITUACIÓN.,2015-04-20,124216,ASSE*
7,2945,COLONIAS ETCHEPARE Y SANTÍN CARLOS ROSSI. SITUACIÓN.,2015-04-20,124216,MSP*
8,2945,ORGANIZACIÓN INTERNACIONAL DEL TRABAJO. CONVENIO 183. (PROTECCIÓN MATERNIDAD). RATIFICACIÓN.,2015-04-17,124194,MTSS*
9,2945,ORGANIZACIÓN INTERNACIONAL DEL TRABAJO. CONVENIO Nº 183. RECOMENDACIÓN Nº 191. MATERNIDAD. RATIFICACIÓN.,2015-04-17,124196,MRREE*
