,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,5165,DIRECCION NACIONAL PROPIEDAD INTELECTUAL. INMUEBLES Y VEHICULOS. PROPIEDAD. ORGANISMO. DESTINO. INFORMES.,2019-03-06,142602,MIEM*
1,5165,DIRECCION NACIONAL ORDENAMIENTO TERRITORIAL. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.,2019-03-06,142601,MVOTMA*
2,5165,DIRECCION NACIONAL INDUSTRIAS. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.,2019-03-06,142600,MIEM*
3,5165,DINAMA. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.,2019-03-06,142598,MVOTMA*
4,5165,MIEM. INMUEBLES Y VEHICULOS. PROPIEDAD Y ARRENDAMIENTO. JUICIOS. INFORMES.,2019-03-06,142640,MIEM*
5,5165,MINISTERIO TURISMO. INMUEBLES Y VEHICULOS. PROPIEDAD Y ARRENDAMIENTO. JUICIOS. INFORMES.,2019-03-06,142631,MINISTERIO TURISMO
6,5165,MTOP. INMUEBLES Y VEHICULOS. PROPIEDAD Y ARRENDAMIENTO. JUICIOS. INFORMES.,2019-03-06,142629,MTOP*
7,5165,MTSS. INMUEBLES Y VEHICULOS. PROPIEDAD Y ARRENDAMIENTO. JUICIOS. INFORMES.,2019-03-06,142632,MTSS*
8,5165,MINISTERIO INTERIOR. INMUEBLES Y VEHICULOS. PROPIEDAD Y ARRENDAMIENTO. JUICIOS. INFORMES.,2019-03-06,142638,MINISTERIO INTERIOR
9,5165,MRREE. INMUEBLES Y VEHICULOS. PROPIEDAD Y ARRENDAMIENTO. JUICIOS. INFORMES.,2019-03-06,142637,MRREE*
10,5165,DIRECCION NACIONAL ENERGIA. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.,2019-03-06,142658,MIEM*
11,5165,MSP. INMUEBLES Y VEHICULOS. PROPIEDAD Y ARRENDAMIENTO. JUICIOS. INFORMES.,2019-03-06,142649,MSP*
12,5165,DIRECCION NACIONAL MINERIA Y GEOLOGIA. INMUEBLES Y VEHICULOS. PROPIEDAD ORGANISMO. DESTINO. INFORMES.,2019-03-06,142659,MIEM*
13,5165,ANP. INMUEBLES Y VEHICULOS PROPIEDAD ORGANISMO. DESTINO. INFORMES.,2019-03-06,142701,MTOP*
14,5165,DINAVI. INMUEBLES Y VEHICULOS PROPIEDAD ORGANISMO. DESTINO. INFORMES.,2019-03-06,142700,MVOTMA*
15,5165,,2019-03-06,142644,MEC*
