,id_senador,id_ficha,fecha_entrada
0,5146,133188,2016-12-14
1,5146,132804,2016-11-22
2,5146,132477,2016-11-01
3,5146,132117,2016-10-18
4,5146,132114,2016-10-18
5,5146,132139,2016-10-14
6,5146,131836,2016-09-27
7,5146,131029,2016-08-03
8,5146,130766,2016-07-13
9,5146,130280,2016-06-15
10,5146,129742,2016-05-18
11,5146,128594,2016-03-08
12,5146,128446,2016-03-02
13,5146,128332,2016-02-16
14,5146,127268,2015-11-10
15,5146,125989,2015-08-12
16,5146,125462,2015-07-14
17,5146,125290,2015-07-01
18,5146,125289,2015-07-01
19,5146,125291,2015-07-01
20,5146,125293,2015-07-01
21,5146,125292,2015-07-01
22,5146,125014,2015-06-16
23,5146,125018,2015-06-16
24,5146,124969,2015-06-10
25,5146,125265,2015-06-01
26,5146,125032,2015-04-15
27,5146,124090,2015-04-14
28,5146,123986,2015-04-07
29,5146,123992,2015-04-07
