,id_senador,id_ficha,fecha_entrada
0,408,141926,2018-11-22
1,408,141848,2018-11-14
2,408,140668,2018-08-01
3,408,140544,2018-07-17
4,408,139714,2018-05-10
5,408,139576,2018-05-08
6,408,139480,2018-05-02
7,408,138643,2018-03-06
8,408,137830,2017-12-06
9,408,137658,2017-11-22
10,408,137715,2017-11-21
11,408,137519,2017-11-14
12,408,137375,2017-11-07
13,408,135668,2017-07-12
14,408,135674,2017-07-12
15,408,135482,2017-06-29
16,408,135458,2017-06-27
17,408,135165,2017-06-07
18,408,135084,2017-06-05
19,408,135085,2017-06-05
20,408,134850,2017-05-16
21,408,134776,2017-05-10
22,408,134536,2017-04-26
23,408,134340,2017-04-05
24,408,134288,2017-04-04
25,408,133875,2017-03-14
26,408,132929,2016-11-30
27,408,132804,2016-11-22
28,408,132114,2016-10-18
29,408,132117,2016-10-18
30,408,131029,2016-08-03
31,408,130766,2016-07-13
32,408,130280,2016-06-15
33,408,130145,2016-06-08
34,408,129450,2016-05-04
35,408,128594,2016-03-08
36,408,128446,2016-03-02
37,408,128332,2016-02-16
38,408,127268,2015-11-10
39,408,125462,2015-07-14
