,estado,fecha_entrada,id_ficha,id_senador,organismo,tipo,titulo,nombre
0,REALIZADO,2016-10-11,132042,11536,DIRECCION NACIONAL BOMBEROS,PEDIDO DE INFORME,RAMBLA PORTUARIA. VIVIENDAS PRECARIAS. INCENDIO. PERITAJE. INFORMES,"Pesce Olivera, Viviana"
1,REALIZADO,2016-10-11,132041,11536,MVOTMA*,PEDIDO DE INFORME,RAMBLA PORUTARIA. VIVIENDAS PRECARIAS. FAMILIAS. SOLUCIÓN HABITACIONAL. INFORMES,"Pesce Olivera, Viviana"
2,REALIZADO,2016-10-11,132044,11536,MIDES*,PEDIDO DE INFORME,RAMBLA PORTUARIA. VIVIENDAS PRECARIAS. INCENDIO. CENSO FAMILIAS AFECTADAS. INFORMES,"Pesce Olivera, Viviana"
3,REALIZADO,2016-10-11,132045,11536,UTE*,PEDIDO DE INFORME,RAMBLA PORTUARIA. VIVIENDAS PRECARIAS. ENERGÍA ELÉCTRICA. SUMINISTRO. INFORMES,"Pesce Olivera, Viviana"
4,REALIZADO,2016-07-06,130648,11536,MIDES*,PEDIDO DE INFORME,DELITOS CONTRA MENORES. PREVENCIÓN. MECANISMOS. INFORMES.,"Pesce Olivera, Viviana"
5,REALIZADO,2016-05-19,129797,11536,DIRECCION NACIONAL BOMBEROS,PEDIDO DE INFORME,RESIDENCIAS ADULTOS MAYORES. HABILITACIÓN BOMBEROS. PROCEDIMIENTO. INFORMES.,"Pesce Olivera, Viviana"
6,REALIZADO,2016-05-18,129727,11536,MEC*,PEDIDO DE INFORME,PLAN CEIBAL. SEGUIMIENTO. INFORMES.,"Pesce Olivera, Viviana"
7,REALIZADO,2015-11-17,127471,11536,MIDES*,PEDIDO DE INFORME,ESTABLECIMIENTOS ADULTOS MAYORES. CONTROL. INFORMES.,"Pesce Olivera, Viviana"
8,REALIZADO,2016-08-11,131186,5146,TRIBUNAL CUENTAS,PEDIDO DE INFORME,ASOCIACIÓN RURAL DEL URUGUAY. PADRÓN INMUEBLE (PRADO). ESTADOS CONTABLES. TRIBUNAL DE CUENTAS. PRESENTACIÓN.,"Agazzi, Ernesto"
9,REALIZADO,2017-07-26,135905,10001,ONSC*,PEDIDO DE INFORME,CARGO INTENDENTE TREINTA Y TRES. INCOMPATIBILIDADES E IMPEDIMENTOS FUNCIONARIO UTE. INFORMES.,"Garin De Nardo, Daniel"
10,REALIZADO,2017-07-24,135884,10001,CORTE ELECTORAL,PEDIDO DE INFORME,CARGO INTENDENTE TREINTA Y TRES. INCOMPATIBILIDADES E IMPEDIMENTOS FUNCIONARIO UTE. INFORMES.,"Garin De Nardo, Daniel"
11,REALIZADO,2019-04-03,143091,7740,OPP*,PEDIDO DE INFORME,PROGRAMA URUGUAY INTEGRA. PROYECTOS PRESENTADOS RIO NEGRO (DPTO). INFORMES.,"Lafluf, Omar"
12,REALIZADO,2018-12-05,142068,7740,MINISTERIO INTERIOR,PEDIDO DE INFORME,DIRECCION NACIONAL BOMBEROS.  DERRAME QUIMICOS RUTA 23 SAN JOSE (DPTO). INSPECCION PRODUCTOS PELIGROSOS. INFORMES.,"Lafluf, Omar"
13,REALIZADO,2018-12-05,142071,7740,MVOTMA*,PEDIDO DE INFORME,DINAMA. DERRAME QUIMICOS RUTA 23 SAN JOSE (DPTO). INSPECCION PRODUCTOS PELIGROSOS. INFORMES.,"Lafluf, Omar"
14,REALIZADO,2018-11-06,141764,7740,MSP*,PEDIDO DE INFORME,COLONIAS ETCHEPARE Y SANTIN CARLOS ROSSI. SITUACION.,"Lafluf, Omar"
