,id_senador,fecha,citado,asistencia,falta_con_aviso,faltas_sin_aviso,con_licencia,pasaje_presidencia
0,7740,2015-05-12,1,1,0,0,0,0
1,7740,2015-12-08,1,1,0,0,0,0
2,7740,2016-03-08,1,1,0,0,0,0
3,7740,2016-03-09,1,1,0,0,0,0
4,7740,2016-03-15,1,1,0,0,0,0
5,7740,2016-03-16,1,1,0,0,0,0
6,7740,2016-05-03,1,1,0,0,0,0
7,7740,2016-08-24,1,1,0,0,0,0
8,7740,2016-10-31,1,1,0,0,0,0
9,7740,2017-04-04,1,1,0,0,0,0
10,7740,2017-04-05,1,1,0,0,0,0
11,7740,2017-10-17,1,1,0,0,0,0
12,7740,2017-10-18,1,1,0,0,0,0
13,7740,2017-11-28,1,1,0,0,0,0
14,7740,2018-06-05,1,1,0,0,0,0
15,7740,2018-06-06,1,1,0,0,0,0
16,7740,2018-07-03,1,1,0,0,0,0
17,7740,2018-08-27,1,1,0,0,0,0
18,7740,2018-11-06,1,1,0,0,0,0
