,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,11524,AMPLIACIÓN PUERTO MONTEVIDEO. AUTORIZACIÓN AMBIENTAL PREVIA. IMPACTO TERRITORIAL. INFORMES.,2019-03-25,143018,MVOTMA*
1,11524,AMPLIACIÓN PUERTO MONTEVIDEO. AUTORIZACIÓN AMBIENTAL PREVIA. IMPACTO TERRITORIAL. INFORMES.,2019-03-25,143022,MTOP*
2,11524,EMPRESA MINERA OROSUR MINAS CORRALES (RIVERA). DETENCIÓN OPERACIONES. INFORMES.,2019-02-27,142517,MIEM*
3,11524,EMPRESA MINERA OROSUR MINAS CORRALES (RIVERA). DETENCIÓN OPERACIONES. INFORMES.,2019-02-27,142519,MVOTMA*
4,11524,RED CLOACAL. PLANTAS. INFORMES.,2019-02-21,142506,OSE*
5,11524,PLANTA PROCESADORA CELULOSA UPM (FRAY BENTOS). INCUMPLIMIENTO NORMATIVA AMBIENTAL. MULTAS. INFORMES.,2019-02-21,142505,DINAMA*
6,11524,FERTILIZANTES. CONTROL CALIDAD. INFORMES.,2019-02-21,142508,MGAP*
7,11524,CIANOBACTERIAS. TOXINAS. MONITOREO. INFORMES.,2019-02-21,142507,MSP*
8,11524,BPS. JUBILADOS. FALLECIMIENTO. INFORMES.,2018-12-17,142217,BPS*
9,11524,LISTERIA MONOCYTOGENES. ALIMENTOS CONTAMINADOS. CONTROL BROMATOLÓGICO. MEDIDAS ADOPTADAS. INFORMES.,2018-11-26,141957,MSP*
10,11524,VÍAS TRENES. GLIFOSATO. FUMIGACIONES. INFORMES.,2018-10-30,141706,AFE*
11,11524,MORTANDAD PECES. MEDIDAS PALEATIVAS. INFORMES.,2018-10-03,141444,DINAMA*
12,11524,PLOMBEMIA. POLBACIÓN AFECTADA. RELEVAMIENTO. HOSPITAL PEREIRA ROSELL. POLICLÍNICA ESPECIALIZADA. CIERRE. INFORMES.,2018-10-02,141426,MSP*
13,11524,EMPRESA MINERA OROSUR MINAS CORRALES (RIVERA). DETENCIÓN OPERACIONES. INFORMES.,2018-09-13,141238,MVOTMA*
14,11524,URANIO (URUGUAY). INGRESO Y USO. INFORMES.,2018-08-10,140757,MIEM*
15,11524,URANIO (URUGUAY). INGRESO Y USO. INFORMES.,2018-08-10,140757,AUTORIDAD REGULADORA NACIONAL RADIOPROTECCION
16,11524,ANIMALES DOMÉSTICOS O COMPAÑÍA ABANDONADOS. POBLACIÓN. CRECIMIENTO. CONTROL Y GESTIÓN. INFORMES.,2018-07-03,140342,COMISION NACIONAL HONORARIA ZOONOSIS
17,11524,BEBIDAS EMBOTALLADAS. CONTROL CALIDAD. INFORMES,2018-06-29,140280,MSP*
18,11524,ANIMALES DOMÉSTICOS O COMPAÑÍA ABANDONADOS. POBLACIÓN. CRECIMIENTO. CONTROL Y GESTIÓN. INFOMRES.,2018-06-29,140282,COTRYBA*
19,11524,AGUA POTABLE MALDONADO Y SORIANO (DPTOS). SITUACIÓN. INFORMES.,2018-06-07,140040,OSE*
20,11524,LIGADURA TUBARIA Y VASECTOMÍA. SALUD SEXUAL Y REPRODUCTIVA (LEY 18.426). INTERVENCIONES. INFORMES.,2018-06-05,139973,ASSE*
21,11524,PLANTA PROCESADORA CELULOSA (DURAZNO). INSTALACIÓN. INFORMES,2018-05-23,139822,MVOTMA*
22,11524,DIRECTRICES NACIONALES. ORDENAMIENTO TERRITORIAL. DESARROLLO SOSTENIBLE. (LEY 19.525). MONITOREO. INFORMACIÓN.,2018-05-23,139824,MVOTMA*
23,11524,TIERRAS COLONOS. ADJUDICACIÓN. INFORMES.,2018-05-18,139784,INC*
24,11524,FERTILIZANTES FOSFATADOS. USO Y CONTROL. INFORMES,2017-11-22,137687,MGAP*
25,11524,INSTITUCIÓN EDUCATIVA (LAVALLEJA). CONSTRUCCIÓN. INFORMES.,2017-08-31,136458,ANEP*
26,11524,MORTANDAD ABEJAS (SALTO). INSECTICIDAS. USO. INFORMES.,2017-08-31,136461,MGAP*
27,11524,AGUA POTABLE. ESCUELAS RURALES. ABASTECIMIENTO. CONTROL. INFORMES.,2017-08-29,136428,ANEP*
28,11524,AGUA POTABLE. ESCUELAS RURALES. ABASTECIMIENTO. CONTROL. INFORMES.,2017-08-29,136430,OSE*
