,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,7604,DESALOJOS PERIODO 2007 - 2017. CANTIDAD. INFORMES.,2018-03-06,138649,SUPREMA CORTE JUSTICIA
1,7604,"BPS. OBTENCION PENSIONES, SUBSIDIOS Y JUBILACIONES INCAPACIDAD. INFORMES.",2017-12-05,137780,MTSS*
2,7604,TARJETAS CORPORATIVAS BHU Y OSE. USO. INFORMES.,2017-10-03,136854,MVOTMA*
3,7604,TARJETAS CORPORATIVAS. MIDES. USO. INFORMES.,2017-10-03,136852,MIDES*
4,7604,MINISTERIO TURISMO. USO TARJETAS CORPORATIVAS. INFORMES.,2017-10-03,136850,MINISTERIO TURISMO
5,7604,TARJETAS CORPORATIVAS. AGENCIA NACIONAL INVESTIGACION INNOVACION. INSTITUTO NACIONAL EVALUACION EDUCATIVA. PROTOCOLO. USO. INFORMES.,2017-10-03,136817,MEC*
6,7604,TARJETAS CORPORATIVAS. ONSC. USO. INFORMES.,2017-10-03,136861,ONSC*
7,7604,TARJETAS CORPORATIVAS OPP.  USO.  INFORMES.,2017-10-03,136855,OPP*
8,7604,TARJETAS CORPORATIVAS. MGAP. USO. INFORMES.,2017-10-03,136821,MGAP*
9,7604,TARJETAS CORPORATIVAS. MEF. USO. INFORMES.,2017-10-03,136820,MEF*
10,7604,TARJETAS CORPORATIVAS BPS. PROTOCOLO. USO. INFORMES.,2017-10-03,136819,MTSS*
11,7604,TARJETAS CORPORATIVAS. ANP Y AFE USO. INFORMES.,2017-10-03,136822,MTOP*
12,7604,TARJETAS CORPORATIVAS. CUDIN Y FNR. USO.INFORMES.,2017-10-03,136849,MSP*
13,7604,TARJETAS CORPORATIVAS. URUGUAY XXI. USO. INFORMES.,2017-10-03,136847,MRREE*
14,7604,TARJETAS CORPORATIVAS. MIEM. USO. INFORMES.,2017-10-03,136823,MIEM*
