,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,2873,"AVION CESSNA 414. ALUR S.A. COMPRA, UTILIZACION Y MANTENIMIENTO. INFORMES.",2018-09-19,141310,MIEM*
1,2873,MTSS. MINISTRO. DECLARACIONES. INFORMES.,2018-09-04,141086,MTSS*
2,2873,MINISTERIO INTERIOR. TRANSMISION VALORES. INFORMES.,2018-07-31,140650,MINISTERIO INTERIOR
3,2873,DISCAPACIDAD. ACCESIBILIDAD TRANSPORTE PASAJEROS. REGISTRO. INFORMES,2018-06-05,139984,MEC*
4,2873,FISCALIA GENERAL NACION. PUBLICIDAD. GASTOS. CONSIDERACIONES. INFORMES.,2018-06-05,140339,MEC*
5,2873,ANCAP. USO TARJETA CORPORATIVA DIRECTORIO ALUR. INFORMES.,2018-05-08,139580,MIEM*
6,2873,"DOCENTES Y CURSOS CONSEJOS EDUCACION INICIAL, PRIMARIA Y SECUNDARIA. INFORMES.",2018-03-07,138759,MEC*
7,2873,HABILITADOS A VOTAR. CIUDADANIA LEGAL. ELECTOR NO CUIDADANO. INFORMES.,2018-03-07,138757,CORTE ELECTORAL
8,2873,CHINA. VIAJE MISION COMERCIAL. DELEGACION INTEGRACION Y COSTO. INFORMES.,2018-03-07,138774,MIEM*
9,2873,CHINA. VIAJE MISION COMERCIAL. DELEGACION INTEGRACION Y COSTO. INFORMES.,2018-03-07,138772,MRREE*
10,2873,PRESIDENTE REPUBLICA. PARTICIPACION ACTO COMITE FRENTE AMPLIO. VIOLACION CONSTITUCIONAL. INFORMES.,2017-12-20,137989,CORTE ELECTORAL
11,2873,ANCAP Y EMPRESAS SUBSIDIARIAS ACUERDOS FINANCIEROS. APROBACION MEF. INFORMES,2017-11-07,137371,MIEM*
12,2873,HIDROCARBUROS  MAR TERRITORIAL O PLATAFORMA ACCIONES MIEM. INFORMES.,2017-11-07,137382,MIEM*
13,2873,PRESTAMOS BHU. TRASPASO DEUDA HIPOTECARIA UR A UI. INFORMES.,2017-11-07,137393,MVOTMA*
14,2873,BHU. PRESTAMOS HIPOTECARIOS UNIDADES REAJUSTABLES. INFORMES.,2017-11-01,137284,MVOTMA*
15,2873,OSE. FUNCIONARIOS Y JERARCAS. GASTOS TARJETAS CREDITO INSTITUCIONALES. TRIBUNAL CUENTAS. INFORMES.,2017-06-13,135232,TRIBUNAL CUENTAS
16,2873,OSE. TARJETAS CREDITO INSTITUCIONALES. NORMAS REGULACION. INFORMES.,2017-06-13,135228,MVOTMA*
17,2873,ANCAP. GASTOS TARJETAS INSTITUCIONALES. PROCEDIMIENTOS INTERVENCION. INFORMES.,2017-06-13,135237,TRIBUNAL CUENTAS
18,2873,ANCAP. TARJETAS CREDITO INSTITUCIONALES.  DISPOSICIONES REGLAMENTARIAS. INFORMES.,2017-06-13,135235,MIEM*
19,2873,"MINISTERIO GANADERIA, AGRICULTURA Y PESCA. DESIGNACION COMITIVAS MISION OFICIAL. COSTOS Y OBJETIVOS VIAJES. INFORMES.",2017-03-28,134159,MGAP*
20,2873,MINISTERIO INTERIOR. DESIGNACION COMITIVAS MISION OFICIAL. COSTOS Y OBJETIVOS VIAJES. INFORMES.,2017-03-28,134158,MINISTERIO INTERIOR
21,2873,MINISTERIO RELACIONES EXTERIORES. DESIGNACION COMITIVAS MISION OFICIAL. COSTOS Y OBJETIVOS VIAJES. INFORMES.,2017-03-28,134156,MRREE*
22,2873,DIALOGO SOCIAL - URUGUAY HACIA EL FUTURO. OPP. INFORMES.,2017-03-28,134167,OPP*
23,2873,MIEM. ACTUACION FUNCIONAL ABOGADA SIN TITULO. INFORMES.,2017-03-28,134162,MIEM*
24,2873,MEC. MISION OFICIAL. COMITIVA. DESIGNACION. COSTOS Y OBJETIVOS VIAJES. INFORMES.,2017-03-28,134160,MEC*
25,2873,MINISTERIO VIVIENDA. DESIGNACION COMITIVAS MISION OFICIAL. COSTOS Y OBJETIVOS VIAJES. INFORMES.,2017-03-28,134148,MVOTMA*
26,2873,MIEM. DESIGNACION COMITIVAS MISION OFICIAL. COSTOS Y OBJETIVOS VIAJES. INFORMES.,2017-03-28,134146,MIEM*
27,2873,MINISTERIO TURISMO. DESIGNACION COMITIVAS MISION OFICIAL. COSTOS Y OBJETIVOS VIAJES. INFORMES.,2017-03-28,134149,MINISTERIO TURISMO
28,2873,MSP. DESIGNACION COMITIVA MISION OFICIAL. COSTOS Y OBJETIVOS VIAJES. INFORMES.,2017-03-28,134152,MSP*
29,2873,MTOP. DESIGNACION COMITIVAS MISION OFICIAL. COSTOS Y OBJETIVOS VIAJES. INFORMES.,2017-03-28,134151,MTOP*
