,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,5167,SISTEMA INTEGRAL CONTROL TRANSPORTE CARGA (SICTRAC). EMPRESAS PRESTADORAS SERVICIO. HOMOLOGACIÓN. INFORMES.,2019-02-01,142456,MTOP*
1,5167,PLANTA POTABILIZADORA AGUAS CORRIENTES (CANELONES). SERVICIOS TRATAMIENTO DE AGUAS Y ANÁLISIS LABORATORIO. PRIVATIZACIÓN. INFORMES.,2018-11-22,141948,OSE*
2,5167,CENSO DOCENTE 2018. ANEP. MANEJO DATOS. INFORMES,2018-10-31,141709,ANEP*
3,5167,CENTROS INISA Y COLONIA BERRO. HIGIENE. FUMIGACIÓN. INFORMES.,2018-10-22,141601,INISA*
4,5167,CONDENA HAMAS. ASAMBLEA GENERAL NACIONES UNIDAS. VOTACIÓN URUGUAY. INFORMES.,2018-08-13,140776,MRREE*
5,5167,PROGRAMAS APOYO ALIMENTACIÓN INDA. MODIFICACIONES. INFORMES.,2018-08-03,140687,INDA*
6,5167,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. OBRAS DEL ESTADO (LEY 18516). APLICACIÓN. INFORMES.,2018-07-16,140518,MTSS*
7,5167,"PESCA. FINES INVESTIGACIÓN, CIENTÍFICOS Y DOCENTES. PERMISOS. REGLAMENTACIÓN. INFORMES.",2018-07-10,140439,MGAP*
8,5167,BRAZO LAGUNA GARZÓN (MALDONADO). DESARROLLO URBANÍSTICO - TURÍSTICO. PROYECTO. INFORMES.,2018-07-02,140314,MINISTERIO TURISMO
9,5167,ASAMBLEA GENERAL ONU. ENMIENDA PROPUESTA EEUU. VOTACIÓN URUGUAY. INFORMES.,2018-06-21,140190,MRREE*
10,5167,ASAMBLEA GENERAL OEA. 48º PERÍODO ORDINARIO SESIONES. REPRESENTACIÓN URUGUAY. INFORMES.,2018-06-07,140044,MRREE*
11,5167,BRAZO LAGUNA GARZÓN (MALDONADO). DESARROLLO TURÍSTICO Y URBANÍSTICO. PROYECTO. INFORMES,2018-06-02,140313,MVOTMA*
12,5167,RUSIA. COPA MUNDIAL FIFA. URUGUAY. PROMOCIÓN. INFORMES.,2018-05-14,139698,MINISTERIO TURISMO
13,5167,URUGUAY. MARCA PAIS. COPA MUNDIAL FIFA RUSIA 2018. PROMOCIÓN. INFORMES.,2018-05-14,139696,MRREE*
14,5167,RUSIA. COPA MUNDIAL FIFA. URUGUAY. PROMOCIÓN. INFORMES.,2018-05-14,139699,SECRETARIA NACIONAL DEPORTE
15,5167,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. OBRAS DEL ESTADO (LEY 18516). APLICACIÓN. INFORMES.,2018-05-08,139708,MTSS*
16,5167,JEFATURAS DE POLICÍA DE MONTEVIDEO Y CANELONES. COMPROMISO CON LA GESTIÓN. INFORMES.,2018-01-30,138215,MINISTERIO INTERIOR
17,5167,EQUIPO DE DRAGADO MULTIPROPÓSITO. ADQUISICIÓN. LICITACIÓN PÚBLICA. ADJUDICACIÓN. INFORMES.,2017-09-14,136690,ANP*
18,5167,INMUEBLES RURALES Y EXPLOTACIONES AGROPECUARIAS. DERECHO PROPIEDAD. TITULARIDAD. EXCEPCIONES. INFORMES.,2017-07-03,135525,MGAP*
19,5167,MINISTERIO INTERIOR. FUNCIONARIOS. SITUACION. INFORMES.,2017-06-27,135462,MINISTERIO INTERIOR
20,5167,MINISTERIO INTERIOR. FUNCIONARIOS. DERECHOS Y OBLIGACIONES. INFORMES.,2017-06-27,135463,MINISTERIO INTERIOR
21,5167,FONDO TUTELA SOCIAL POLICIAL. FUNCIONAMIENTO. INFORMES,2017-06-27,135461,MINISTERIO INTERIOR
22,5167,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,ARMADA NACIONAL
23,5167,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,MRREE*
24,5167,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,ANP*
25,5167,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,MGAP*
