,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,327,PROTECCIÓN DERECHOS ARTÍSTAS INTÉRPRETES Y EJECTUTANTES. OBRAS AUDIOVISUALES. TRATADO BEIJING. RATIFICACIÓN. INFORMES.,2019-03-25,143024,MRREE*
1,327,PROTECCIÓN DERECHOS ARTÍSTAS INTÉRPRETES Y EJECTUTANTES. OBRAS AUDIOVISUALES. TRATADO BEIJING. RATIFICACIÓN. INFORMES.,2019-03-25,143024,MIEM*
2,327,ANTEL ARENA. CONSTRUCCIÓN. COSTO TOTAL. INFORMES.,2018-12-20,142238,TRIBUNAL CUENTAS
3,327,BOYA PETROLERA JOSÉ IGNACIO (MALDONADO). DERRAME PETRÓLEO. INFORMES.,2018-12-18,142225,ANCAP*
4,327,ANTEL ARENA. CONSTRUCCIÓN. ORGANISMOS PÚBLICOS. EROGACIONES Y GASTOS. INFORMES.,2018-12-13,142167,MEF*
5,327,ANTEL ARENA. CONSTRUCCIÓN. EMPRESAS VINCULADAS. CONTRATOS. INFORMES.,2018-12-13,142168,ANTEL*
6,327,TALA ÁRBOLES. EMPALME RUTAS 3 Y 26. INFORMES.,2018-08-17,140898,MTOP*
7,327,SERVICIO AMBULANCIAS HOSPITAL MELO (CERRO LARGO). INFORMES.,2018-07-05,140392,ASSE*
8,327,ANTEL ARENA. CONSTRUCCIÓN. CONTRATOS. INFORMES.,2018-06-28,140255,MIEM*
9,327,COOPERATIVAS SOCIALES Y DE TRABAJO. FUNCIONAMIENTO. RÉGIMEN. INFORMES.,2018-06-28,140256,MIDES*
10,327,JEFE POLICÍA CERRO LARGO (DPTO.) SUSTITUCIÓN. INFORMES,2018-04-02,139030,MINISTERIO INTERIOR
11,327,CANDOMBE. PROMOCIÓN Y DIFUSIÓN. INFORMES.,2018-03-21,138961,MEC*
