,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,196,CUENTAS PYMES BROU. ADHESION SISTEMAS PAGOS. EMPRESA GEOCOM - POS. INFORMES.,2018-11-13,141824,MEF*
1,196,CANASTA RIESGO NUTRICIONAL. RESTRICCION ENTREGA NIÑOS. NACIDOS FUERA PEREYRA ROSSELL. INFORMES.,2018-06-12,140105,MIDES*
2,196,VERTEDERO GALLINAL Y CERRO CHATO (PAYSANDU). DESBORDE. ACTIVIDADES CONTAMINANTES. INFORMES.,2018-06-05,140002,MVOTMA*
3,196,MINAS (LAVALLEJA). DELITOS REGISTRADOS PERIODO 2014-2018. MEDIDAS ADOPTADAS. INFORMES.,2018-03-13,138847,MINISTERIO INTERIOR
4,196,ASOCIACION CIVIL EGEDA URUGUAY. COBRO CANON DERECHOS AUDIOVISULAES. NORMATIVA. INFORMES.,2018-03-07,138776,MEC*
5,196,GUARDIA SEGURIDAD HERIDO RAPIÑA SUPERMERCADO MONTEVIDEO (DPTO). SITUACION LABORAL. INFORMES.,2018-03-06,138677,MINISTERIO INTERIOR
6,196,OMBUES DE LAVALLE (COLONIA). VIVIENDAS MEVIR. CONSTRUCCION. DEMORA. INFORMES.,2017-08-15,136260,MVOTMA*
7,196,AGROINDUSTRIAS CALVINOR Y GREENFROZEN. VINCULOS ESTADO. INFORMES.,2016-12-06,133029,MEF*
8,196,AGROINDUSTRIAS CALVINOR Y GREENFROZEN. VINCULOS ESTADO. INFORMES.,2016-12-06,133029,MGAP*
9,196,AGROINDUSTRIAS CALVINOR Y GREENFROZEN. VINCULOS ESTADO. INFORMES.,2016-12-06,133029,MIEM*
10,196,VIOLENCIA DOMESTICA. MUERTES. CANTIDADES. INFORMES.,2016-08-16,131230,MINISTERIO INTERIOR
11,196,RUTA NACIONAL 8. BANQUINAS. REPARACION. INFORMES.,2016-07-05,130607,MTOP*
12,196,DELITOS REGISTRADOS PASO DE LA ARENA (MONTEVIDEO) ULTIMO AÑO. INFORMES.,2016-04-12,129069,MINISTERIO INTERIOR
13,196,LEY ORGANICA POLICIAL. ORGANIZACION POLICIA. INFORMES.,2015-11-03,127138,MINISTERIO INTERIOR
