,id_senador,id_ficha,fecha_entrada
0,1044,139714,2018-05-10
1,1044,137830,2017-12-06
2,1044,137709,2017-11-15
3,1044,137375,2017-11-07
4,1044,136846,2017-10-03
5,1044,136210,2017-08-09
6,1044,135267,2017-06-13
7,1044,134851,2017-05-16
8,1044,134583,2017-04-27
9,1044,133794,2017-03-08
10,1044,132939,2016-11-30
11,1044,132470,2016-11-01
12,1044,132477,2016-11-01
13,1044,131924,2016-10-04
14,1044,131639,2016-09-13
15,1044,131046,2016-08-03
16,1044,130857,2016-07-21
17,1044,130529,2016-05-24
18,1044,129690,2016-05-17
19,1044,129710,2016-05-17
20,1044,129450,2016-05-04
21,1044,129292,2016-04-26
22,1044,128824,2016-03-29
23,1044,128759,2016-03-16
24,1044,128447,2016-03-02
25,1044,127178,2015-11-03
26,1044,126602,2015-09-16
27,1044,125014,2015-06-16
28,1044,129125,2015-04-13
