,id_senador,id_ficha,fecha_entrada
0,598,142181,2018-12-14
1,598,141815,2018-11-13
2,598,140068,2018-06-06
3,598,138873,2018-03-14
4,598,138855,2018-03-13
5,598,138818,2018-03-09
6,598,138471,2018-02-21
7,598,137830,2017-12-06
8,598,136846,2017-10-03
9,598,136527,2017-09-05
10,598,135993,2017-08-01
11,598,132925,2016-11-30
12,598,132308,2016-10-27
13,598,131814,2016-09-14
14,598,127178,2015-11-03
15,598,126567,2015-09-15
16,598,125989,2015-08-12
17,598,125745,2015-08-04
18,598,125513,2015-07-15
19,598,124753,2015-06-01
20,598,123750,2015-03-17
21,598,123525,2015-03-04
22,598,123450,2015-03-03
23,598,123493,2015-03-03
24,598,123494,2015-03-03
