,id_senador,id_ficha,fecha_entrada
0,2965,142063,2018-12-05
1,2965,141176,2018-09-07
2,2965,140424,2018-07-10
3,2965,139152,2018-04-09
4,2965,138818,2018-03-09
5,2965,138216,2018-01-30
6,2965,137037,2017-10-11
7,2965,136210,2017-08-09
8,2965,135267,2017-06-13
9,2965,134583,2017-04-27
10,2965,132308,2016-10-27
11,2965,131814,2016-09-14
12,2965,128594,2016-03-08
13,2965,127929,2015-12-15
14,2965,127299,2015-11-11
15,2965,126823,2015-10-06
16,2965,126518,2015-09-11
17,2965,126183,2015-08-26
18,2965,125462,2015-07-14
19,2965,125265,2015-06-01
20,2965,123873,2015-03-24
