,id_senador,nombre,lema,email
0,5146,"Agazzi, Ernesto",,eagazzi@parlamento.gub.uy
1,2743,"Alcorta, Ricardo",PARTIDO FRENTE AMPLIO,
2,8883,"Almagro Lemes, Luis Leonardo",,secretaria.ministro@mrree.gub.uy
3,9891,"Alonso, Verónica",PARTIDO NACIONAL,valonso@parlamento.gub.uy
4,11535,"Álvarez López, María Dolores",PARTIDO NACIONAL,nolivera@parlamento.gub.uy
5,1044,"Amorín, José",PARTIDO COLORADO,jamorin@parlamento.gub.uy
6,9899,"Amy, José A.",PARTIDO COLORADO,jamy@parlamento.gub.uy
7,11533,"Antía Behrens, María Mercedes",PARTIDO NACIONAL,
8,3237,"Argimón, Beatriz",PARTIDO NACIONAL,
9,9913,"Aristimuño, Saúl",PARTIDO FRENTE AMPLIO,saristimunio@parlamento.gub.uy
10,2936,"Arregui, Roque",PARTIDO FRENTE AMPLIO,rarregui@parlamento.gub.uy
11,10282,"Asiaín, Carmen",PARTIDO NACIONAL,
12,479,"Astori, Danilo",PARTIDO FRENTE AMPLIO,dastori@parlamento.gub.uy
13,11524,"Aviaga Martínez, María Carol",PARTIDO NACIONAL,caviaga@parlamento.gub.uy
14,9900,"Ayala, Patricia",PARTIDO FRENTE AMPLIO,payala@parlamento.gub.uy
15,759,"Baráibar, Carlos",PARTIDO FRENTE AMPLIO,cbaraibar@parlamento.gub.uy
16,414,"Beramendi, Carmen",PARTIDO FRENTE AMPLIO,constanzamoreira@parlamento.gub.uy
17,8267,"Berterreche, Andrés",PARTIDO FRENTE AMPLIO,aberterreche@parlamento.gub.uy
18,10003,"Besozzi, Guillermo",PARTIDO NACIONAL,gbesozzi@parlamento.gub.uy
19,5131,"Bianchi, Daniel",PARTIDO COLORADO,dbianchi@parlamento.gub.uy
20,5244,"Bonomi, Eduardo",PARTIDO FRENTE AMPLIO,ebonomi@parlamento.gub.uy
21,922,"Bordaberry Herrán, Juan Pedro",PARTIDO COLORADO,pbordaberry@parlamento.gub.uy
22,7354,"Botana, Sergio",,sbotana@parlamento.gub.uy
23,6900,"Camy Antognazza, Carlos Daniel",PARTIDO NACIONAL,ccamy@parlamento.gub.uy
24,277,"Carámbula Volpi, Marcos Gustavo",,mcarambula@parlamento.gub.uy
25,7604,"Carballo Da Costa, Felipe",PARTIDO FRENTE AMPLIO,fcarballo@parlamento.gub.uy
26,598,"Cardoso, José Carlos",PARTIDO NACIONAL,jcardoso@parlamento.gub.uy
27,11531,"Cardozo Rufo, Virginia",PARTIDO FRENTE AMPLIO,
28,10209,"Carrera Leal, Charles",PARTIDO FRENTE AMPLIO,charles.carrera@parlamento.gub.uy
29,8584,"Castaingdebat, Armando",PARTIDO NACIONAL,acastaingdebat@parlamento.gub.uy
30,3157,"Castillo, Juan",PARTIDO FRENTE AMPLIO,jcastillo@parlamento.gub.uy
31,509,"Cersósimo, Gustavo",PARTIDO COLORADO,gcersosimo@parlamento.gub.uy
32,9969,"Coutinho Rodríguez, Germán",PARTIDO COLORADO,gcoutinho@parlamento.gub.uy
33,5304,"Da Silva, Sebastián",PARTIDO NACIONAL,sdasilva@parlamento.gub.uy
34,11383,"De León, Leonardo",PARTIDO FRENTE AMPLIO,ldeleon@parlamento.gub.uy
35,3948,"Delgado, Alvaro",PARTIDO NACIONAL,adelgado@parlamento.gub.uy
36,10161,"Draper Praderio, Alejandro",PARTIDO NACIONAL,
37,9964,"Eguiluz, Cecilia",PARTIDO COLORADO,ceguiluz@parlamento.gub.uy
38,7737,"Enciso Christiansen, Carlos",,cenciso@parlamento.gub.uy
