asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id,id_comision,id_legislador,licencia,otras_comisiones
1,1,0,0,2019-05-16,0,314,9891,0,0
0,1,1,0,2015-06-10,1,317,9891,0,0
0,1,1,0,2015-07-15,2,317,9891,0,0
0,1,1,0,2015-08-05,3,317,9891,0,0
1,1,0,0,2015-08-12,4,317,9891,0,0
1,1,0,0,2015-09-09,5,317,9891,0,0
0,1,1,0,2015-10-07,6,317,9891,0,0
0,1,1,0,2016-03-02,7,317,9891,0,0
1,1,0,0,2016-03-09,8,317,9891,0,0
0,1,1,0,2016-03-16,9,317,9891,0,0
0,1,1,0,2016-03-30,10,317,9891,0,0
0,1,1,0,2016-04-06,11,317,9891,0,0
0,1,1,0,2016-04-13,12,317,9891,0,0
0,1,1,0,2016-05-11,13,317,9891,0,0
0,1,1,0,2016-05-18,14,317,9891,0,0
0,1,1,0,2016-06-01,15,317,9891,0,0
1,1,0,0,2016-06-15,16,317,9891,0,0
0,1,1,0,2016-08-03,17,317,9891,0,0
0,1,1,0,2016-08-10,18,317,9891,0,0
1,1,0,0,2016-10-05,19,317,9891,0,0
0,1,1,0,2016-10-12,20,317,9891,0,0
0,1,1,0,2016-11-09,21,317,9891,0,0
1,1,0,0,2016-11-16,22,317,9891,0,0
0,1,1,0,2016-11-21,23,317,9891,0,0
0,1,1,0,2016-12-07,24,317,9891,0,0
1,1,0,0,2016-12-14,25,317,9891,0,0
1,1,0,0,2017-03-15,26,317,9891,0,0
1,1,0,0,2017-04-05,27,317,9891,0,0
0,1,1,0,2017-05-03,28,317,9891,0,0
0,1,1,0,2017-05-10,29,317,9891,0,0
1,1,0,0,2017-05-17,30,317,9891,0,0
1,1,0,0,2017-06-14,31,317,9891,0,0
1,1,0,0,2017-07-26,32,317,9891,0,0
0,1,1,0,2017-08-02,33,317,9891,0,0
1,1,0,0,2017-10-04,34,317,9891,0,0
1,1,0,0,2017-11-08,35,317,9891,0,0
0,1,1,0,2017-12-06,36,317,9891,0,0
1,1,0,0,2018-03-07,37,317,9891,0,0
1,1,0,0,2018-03-14,38,317,9891,0,0
1,1,0,0,2018-04-11,39,317,9891,0,0
0,1,1,0,2018-05-02,40,317,9891,0,0
1,1,0,0,2018-05-09,41,317,9891,0,0
1,1,0,0,2018-05-16,42,317,9891,0,0
0,1,1,0,2018-06-13,43,317,9891,0,0
0,1,1,0,2018-08-01,44,317,9891,0,0
0,1,1,0,2018-08-08,45,317,9891,0,0
1,1,0,0,2018-10-10,46,317,9891,0,0
0,1,1,0,2018-11-07,47,317,9891,0,0
0,1,1,0,2019-05-08,48,317,9891,0,0
1,1,0,0,2015-04-14,49,312,9891,0,0
1,1,0,0,2015-05-12,50,312,9891,0,0
1,1,0,0,2015-06-04,51,312,9891,0,0
0,1,1,0,2015-06-11,52,312,9891,0,0
0,1,1,0,2015-06-18,53,312,9891,0,0
0,1,1,0,2015-07-02,54,312,9891,0,0
1,1,0,0,2015-07-14,55,312,9891,0,0
0,1,1,0,2015-07-16,56,312,9891,0,0
1,1,0,0,2015-07-30,57,312,9891,0,0
0,1,1,0,2015-08-06,58,312,9891,0,0
0,1,1,0,2015-08-13,59,312,9891,0,0
1,1,0,0,2015-09-03,60,312,9891,0,0
1,1,0,0,2015-09-10,61,312,9891,0,0
0,1,1,0,2015-09-24,62,312,9891,0,0
1,1,0,0,2015-10-01,63,312,9891,0,0
1,1,0,0,2015-10-08,64,312,9891,0,0
0,1,1,0,2015-10-15,65,312,9891,0,0
0,1,1,0,2015-11-03,66,312,9891,0,0
1,1,0,0,2015-12-10,67,312,9891,0,0
1,1,0,0,2016-03-03,68,312,9891,0,0
0,1,1,0,2016-03-10,69,312,9891,0,0
1,1,0,0,2016-03-17,70,312,9891,0,0
1,1,0,0,2016-04-07,71,312,9891,0,0
0,1,1,0,2016-04-14,72,312,9891,0,0
0,1,1,0,2016-04-26,73,312,9891,0,0
1,1,0,0,2016-05-05,74,312,9891,0,0
1,1,0,0,2016-05-12,75,312,9891,0,0
0,1,1,0,2016-06-02,76,312,9891,0,0
1,1,0,0,2016-06-09,77,312,9891,0,0
0,1,1,0,2016-07-07,78,312,9891,0,0
0,1,1,0,2016-07-14,79,312,9891,0,0
1,1,0,0,2016-07-21,80,312,9891,0,0
1,1,0,0,2016-08-11,81,312,9891,0,0
1,1,0,0,2016-08-29,82,312,9891,0,0
1,1,0,0,2016-09-01,83,312,9891,0,0
1,1,0,0,2016-10-06,84,312,9891,0,0
0,1,1,0,2016-10-13,85,312,9891,0,0
1,1,0,0,2016-11-03,86,312,9891,0,0
1,1,0,0,2016-12-01,87,312,9891,0,0
0,1,1,0,2016-12-08,88,312,9891,0,0
1,1,0,0,2017-02-02,89,312,9891,0,0
0,1,1,0,2017-03-02,90,312,9891,0,0
1,1,0,0,2017-03-16,91,312,9891,0,0
0,1,1,0,2017-04-06,92,312,9891,0,0
0,1,1,0,2017-04-20,93,312,9891,0,0
0,1,1,0,2017-05-04,94,312,9891,0,0
1,1,0,0,2017-05-18,95,312,9891,0,0
1,1,0,0,2017-06-01,96,312,9891,0,0
1,1,0,0,2017-06-08,97,312,9891,0,0
1,1,0,0,2017-06-15,98,312,9891,0,0
0,1,1,0,2017-07-06,99,312,9891,0,0
0,1,1,0,2017-07-13,100,312,9891,0,0
1,1,0,0,2017-08-03,101,312,9891,0,0
1,1,0,0,2017-08-10,102,312,9891,0,0
1,1,0,0,2017-08-17,103,312,9891,0,0
1,1,0,0,2017-09-25,104,312,9891,0,0
1,1,0,0,2017-10-05,105,312,9891,0,0
0,1,1,0,2017-10-12,106,312,9891,0,0
1,1,0,0,2017-11-09,107,312,9891,0,0
1,1,0,0,2017-12-07,108,312,9891,0,0
1,1,0,0,2017-12-14,109,312,9891,0,0
1,1,0,0,2018-03-07,110,312,9891,0,0
1,1,0,0,2018-04-12,111,312,9891,0,0
0,1,1,0,2018-04-19,112,312,9891,0,0
0,1,1,0,2018-05-03,113,312,9891,0,0
1,1,0,0,2018-05-10,114,312,9891,0,0
1,1,0,0,2018-05-31,115,312,9891,0,0
1,1,0,0,2018-06-07,116,312,9891,0,0
1,1,0,0,2018-06-14,117,312,9891,0,0
1,1,0,0,2018-07-19,118,312,9891,0,0
1,1,0,0,2018-08-02,119,312,9891,0,0
1,1,0,0,2018-08-09,120,312,9891,0,0
1,1,0,0,2018-08-16,121,312,9891,0,0
1,1,0,0,2018-08-23,122,312,9891,0,0
0,1,1,0,2018-10-04,123,312,9891,0,0
1,1,0,0,2018-10-11,124,312,9891,0,0
1,1,0,0,2018-10-18,125,312,9891,0,0
0,1,1,0,2018-11-01,126,312,9891,0,0
0,1,1,0,2018-11-08,127,312,9891,0,0
0,1,1,0,2018-12-06,128,312,9891,0,0
1,1,0,0,2018-12-13,129,312,9891,0,0
1,1,0,0,2019-03-14,130,312,9891,0,0
1,1,0,0,2019-04-04,131,312,9891,0,0
1,1,0,0,2019-04-11,132,312,9891,0,0
0,1,1,0,2019-04-23,133,312,9891,0,0
1,1,0,0,2019-04-30,134,312,9891,0,0
1,1,0,0,2019-05-02,135,312,9891,0,0
1,1,0,0,2019-05-09,136,312,9891,0,0
1,1,0,0,2015-08-26,137,1104,9891,0,0
1,1,0,0,2015-09-02,138,1104,9891,0,0
1,1,0,0,2015-09-09,139,1104,9891,0,0
1,1,0,0,2015-10-21,140,1104,9891,0,0
1,1,0,0,2015-10-22,141,1104,9891,0,0
1,1,0,0,2015-10-26,142,1104,9891,0,0
1,1,0,0,2015-10-26,143,1104,9891,0,0
1,1,0,0,2015-10-27,144,1104,9891,0,0
1,1,0,0,2015-10-27,145,1104,9891,0,0
1,1,0,0,2015-10-28,146,1104,9891,0,0
1,1,0,0,2015-10-28,147,1104,9891,0,0
1,1,0,0,2015-10-29,148,1104,9891,0,0
1,1,0,0,2015-10-29,149,1104,9891,0,0
1,1,0,0,2015-10-30,150,1104,9891,0,0
1,1,0,0,2015-10-30,151,1104,9891,0,0
1,1,0,0,2015-11-03,152,1104,9891,0,0
1,1,0,0,2015-11-03,153,1104,9891,0,0
1,1,0,0,2015-11-04,154,1104,9891,0,0
1,1,0,0,2015-11-04,155,1104,9891,0,0
0,1,1,0,2015-11-05,156,1104,9891,0,0
1,1,0,0,2015-11-05,157,1104,9891,0,0
0,1,1,0,2015-11-09,158,1104,9891,0,0
1,1,0,0,2015-11-09,159,1104,9891,0,0
0,1,1,0,2015-11-12,160,1104,9891,0,0
0,1,0,0,2015-11-13,161,1104,9891,0,0
1,1,0,0,2015-11-16,162,1104,9891,0,0
1,1,0,0,2015-11-16,163,1104,9891,0,0
0,1,1,0,2015-11-17,164,1104,9891,0,0
0,1,1,0,2015-11-17,165,1104,9891,0,0
0,1,1,0,2015-11-23,166,1104,9891,0,0
0,1,1,0,2015-11-23,167,1104,9891,0,0
1,1,0,0,2015-11-24,168,1104,9891,0,0
1,1,0,0,2015-11-24,169,1104,9891,0,0
1,1,0,0,2015-11-25,170,1104,9891,0,0
0,1,1,0,2016-08-10,171,1104,9891,0,0
1,1,0,0,2016-08-15,172,1104,9891,0,0
1,1,0,0,2016-08-16,173,1104,9891,0,0
1,1,0,0,2016-08-16,174,1104,9891,0,0
0,1,1,0,2016-08-17,175,1104,9891,0,0
1,1,0,0,2016-08-17,176,1104,9891,0,0
0,1,1,0,2016-08-18,177,1104,9891,0,0
1,1,0,0,2016-08-18,178,1104,9891,0,0
1,1,0,0,2016-08-19,179,1104,9891,0,0
1,1,0,0,2016-08-22,180,1104,9891,0,0
0,1,1,0,2016-08-22,181,1104,9891,0,0
1,1,0,0,2016-08-23,182,1104,9891,0,0
0,1,1,0,2016-08-23,183,1104,9891,0,0
0,1,1,0,2016-08-26,184,1104,9891,0,0
0,1,1,0,2016-08-29,185,1104,9891,0,0
0,1,1,0,2016-08-30,186,1104,9891,0,0
1,1,0,0,2016-08-30,187,1104,9891,0,0
0,1,1,0,2016-08-31,188,1104,9891,0,0
1,1,0,0,2016-08-31,189,1104,9891,0,0
1,1,0,0,2016-09-01,190,1104,9891,0,0
1,1,0,0,2016-09-01,191,1104,9891,0,0
0,1,1,0,2016-09-02,192,1104,9891,0,0
1,1,0,0,2016-09-02,193,1104,9891,0,0
0,1,1,0,2016-09-05,194,1104,9891,0,0
1,1,0,0,2016-09-05,195,1104,9891,0,0
0,1,1,0,2016-09-06,196,1104,9891,0,0
1,1,0,0,2016-09-06,197,1104,9891,0,0
1,1,0,0,2016-09-07,198,1104,9891,0,0
1,1,0,0,2016-09-08,199,1104,9891,0,0
0,1,1,0,2017-08-10,200,1104,9891,0,0
1,1,0,0,2017-08-17,201,1104,9891,0,0
1,1,0,0,2017-08-17,202,1104,9891,0,0
1,1,0,0,2017-08-18,203,1104,9891,0,0
0,1,1,0,2017-08-21,204,1104,9891,0,0
0,1,1,0,2017-08-21,205,1104,9891,0,0
0,1,1,0,2017-08-22,206,1104,9891,0,0
0,1,1,0,2017-08-22,207,1104,9891,0,0
0,1,0,0,2017-08-23,208,1104,9891,1,0
1,1,0,0,2017-08-24,209,1104,9891,0,0
1,1,0,0,2017-08-24,210,1104,9891,0,0
1,1,0,0,2017-08-28,211,1104,9891,0,0
1,1,0,0,2017-08-28,212,1104,9891,0,0
1,1,0,0,2017-08-29,213,1104,9891,0,0
0,1,1,0,2017-08-29,214,1104,9891,0,0
1,1,0,0,2017-08-30,215,1104,9891,0,0
1,1,0,0,2017-08-30,216,1104,9891,0,0
1,1,0,0,2017-08-31,217,1104,9891,0,0
0,1,1,0,2017-08-31,218,1104,9891,0,0
0,1,0,0,2017-09-01,219,1104,9891,0,0
0,1,1,0,2017-09-04,220,1104,9891,0,0
0,1,1,0,2017-09-04,221,1104,9891,0,0
0,1,1,0,2017-09-05,222,1104,9891,0,0
0,1,1,0,2017-09-05,223,1104,9891,0,0
0,1,1,0,2017-09-06,224,1104,9891,0,0
1,1,0,0,2017-09-06,225,1104,9891,0,0
0,1,1,0,2017-09-07,226,1104,9891,0,0
0,1,1,0,2017-09-07,227,1104,9891,0,0
0,1,0,0,2017-09-08,228,1104,9891,0,0
1,1,0,0,2017-09-12,229,1104,9891,0,0
0,1,1,0,2018-08-22,230,1104,9891,0,0
1,1,0,0,2018-08-28,231,1104,9891,0,0
1,1,0,0,2018-08-28,232,1104,9891,0,0
1,1,0,0,2018-08-29,233,1104,9891,0,0
0,1,1,0,2018-08-29,234,1104,9891,0,0
0,1,1,0,2018-08-30,235,1104,9891,0,0
1,1,0,0,2018-08-30,236,1104,9891,0,0
0,1,0,0,2018-08-31,237,1104,9891,0,0
0,1,0,0,2018-08-31,238,1104,9891,0,0
1,1,0,0,2018-09-03,239,1104,9891,0,0
1,1,0,0,2018-09-03,240,1104,9891,0,0
0,1,1,0,2018-09-04,241,1104,9891,0,0
1,1,0,0,2018-09-04,242,1104,9891,0,0
1,1,0,0,2018-09-05,243,1104,9891,0,0
1,1,0,0,2018-09-05,244,1104,9891,0,0
1,1,0,0,2018-09-06,245,1104,9891,0,0
1,1,0,0,2018-09-06,246,1104,9891,0,0
1,1,0,0,2018-09-07,247,1104,9891,0,0
1,1,0,0,2018-09-07,248,1104,9891,0,0
1,1,0,0,2018-09-10,249,1104,9891,0,0
