asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id,id_legislador,licencia,pasaje_presidencia
1,1,0,0,2015-02-15,0,9891,0,0
1,1,0,0,2015-03-03,1,9891,0,0
1,1,0,0,2015-03-10,2,9891,0,0
0,1,0,0,2015-03-17,3,9891,1,0
1,1,0,0,2015-03-18,4,9891,0,0
0,1,0,0,2015-04-07,5,9891,1,0
0,1,0,0,2015-04-07,6,9891,1,0
1,1,0,0,2015-04-14,7,9891,0,0
1,1,0,0,2015-04-15,8,9891,0,0
1,1,0,0,2015-05-05,9,9891,0,0
1,1,0,0,2015-05-12,10,9891,0,0
0,1,0,0,2015-05-13,11,9891,1,0
0,1,0,0,2015-05-13,12,9891,1,0
0,1,1,0,2015-05-19,13,9891,0,0
1,1,0,0,2015-06-02,14,9891,0,0
0,1,0,0,2015-06-03,15,9891,1,0
1,1,0,0,2015-06-09,16,9891,0,0
1,1,0,0,2015-06-10,17,9891,0,0
0,1,0,0,2015-06-16,18,9891,1,0
0,1,0,0,2015-06-17,19,9891,1,0
0,1,0,0,2015-07-01,20,9891,1,0
0,1,0,0,2015-07-07,21,9891,1,0
0,1,0,0,2015-07-08,22,9891,1,0
1,1,0,0,2015-07-14,23,9891,0,0
1,1,0,0,2015-07-15,24,9891,0,0
1,1,0,0,2015-07-22,25,9891,0,0
1,1,0,0,2015-08-04,26,9891,0,0
1,1,0,0,2015-08-05,27,9891,0,0
1,1,0,0,2015-08-11,28,9891,0,0
1,1,0,0,2015-08-12,29,9891,0,0
0,1,0,0,2015-08-18,30,9891,1,0
1,1,0,0,2015-09-01,31,9891,0,0
1,1,0,0,2015-09-02,32,9891,0,0
1,1,0,0,2015-09-08,33,9891,0,0
1,1,0,0,2015-09-09,34,9891,0,0
0,1,0,0,2015-09-15,35,9891,1,0
0,1,0,0,2015-09-16,36,9891,1,0
1,1,0,0,2015-09-29,37,9891,0,0
1,1,0,0,2015-10-06,38,9891,0,0
0,1,1,0,2015-10-07,39,9891,0,0
1,1,0,0,2015-10-13,40,9891,0,0
1,1,0,0,2015-10-14,41,9891,0,0
1,1,0,0,2015-10-20,42,9891,0,0
0,1,0,0,2015-11-10,43,9891,1,0
1,1,0,0,2015-11-17,44,9891,0,0
1,1,0,0,2015-11-30,45,9891,0,0
1,1,0,0,2015-12-01,46,9891,0,0
1,1,0,0,2015-12-02,47,9891,0,0
0,1,1,0,2015-12-08,48,9891,0,0
1,1,0,0,2015-12-09,49,9891,0,0
0,1,0,0,2015-12-22,50,9891,1,0
0,1,0,0,2015-12-22,51,9891,1,0
0,1,0,0,2015-12-28,52,9891,1,0
0,1,1,0,2015-12-28,53,9891,0,0
0,1,0,0,2015-12-28,54,9891,1,0
0,1,0,0,2016-02-03,55,9891,1,0
1,1,0,0,2016-02-17,56,9891,0,0
1,1,0,0,2016-02-17,57,9891,0,0
1,1,0,0,2016-03-02,58,9891,0,0
1,1,0,0,2016-03-08,59,9891,0,0
1,1,0,0,2016-03-09,60,9891,0,0
1,1,0,0,2016-03-15,61,9891,0,0
0,1,1,0,2016-03-16,62,9891,0,0
0,1,0,0,2016-04-05,63,9891,1,0
1,1,0,0,2016-04-06,64,9891,0,0
1,1,0,0,2016-04-12,65,9891,0,0
0,1,1,0,2016-04-13,66,9891,0,0
1,1,0,0,2016-05-03,67,9891,0,0
1,1,0,0,2016-05-04,68,9891,0,0
0,1,1,0,2016-05-10,69,9891,0,0
1,1,0,0,2016-05-17,70,9891,0,0
1,1,0,0,2016-05-18,71,9891,0,0
0,1,0,0,2016-05-24,72,9891,1,0
0,1,0,0,2016-06-01,73,9891,1,0
0,1,0,0,2016-06-08,74,9891,1,0
1,1,0,0,2016-06-15,75,9891,0,0
1,1,0,0,2016-06-22,76,9891,0,0
0,1,0,0,2016-06-29,77,9891,1,0
0,1,0,0,2016-07-06,78,9891,1,0
0,1,0,0,2016-07-13,79,9891,1,0
1,1,0,0,2016-07-20,80,9891,0,0
0,1,1,0,2016-08-02,81,9891,0,0
0,1,1,0,2016-08-03,82,9891,0,0
1,1,0,0,2016-08-04,83,9891,0,0
1,1,0,0,2016-08-10,84,9891,0,0
0,1,0,0,2016-08-24,85,9891,1,0
1,1,0,0,2016-08-29,86,9891,0,0
0,1,0,0,2016-09-13,87,9891,1,0
0,1,0,0,2016-09-14,88,9891,1,0
0,1,1,0,2016-09-20,89,9891,0,0
0,1,1,0,2016-09-21,90,9891,0,0
1,1,0,0,2016-10-04,91,9891,0,0
0,1,1,0,2016-10-11,92,9891,0,0
0,1,1,0,2016-10-12,93,9891,0,0
1,1,0,0,2016-10-18,94,9891,0,0
0,1,1,0,2016-10-25,95,9891,0,0
1,1,0,0,2016-10-27,96,9891,0,0
0,1,0,0,2016-10-31,97,9891,1,0
1,1,0,0,2016-11-01,98,9891,0,0
1,1,0,0,2016-11-08,99,9891,0,0
0,1,1,0,2016-11-09,100,9891,0,0
1,1,0,0,2016-11-15,101,9891,0,0
1,1,0,0,2016-11-22,102,9891,0,0
0,1,0,0,2016-11-23,103,9891,1,0
1,1,0,0,2016-11-30,104,9891,0,0
1,1,0,0,2016-12-07,105,9891,0,0
1,1,0,0,2016-12-13,106,9891,0,0
1,1,0,0,2016-12-14,107,9891,0,0
1,1,0,0,2016-12-21,108,9891,0,0
1,1,0,0,2016-12-28,109,9891,0,0
0,1,0,0,2016-12-29,110,9891,1,0
1,1,0,0,2017-02-02,111,9891,0,0
1,1,0,0,2017-02-08,112,9891,0,0
1,1,0,0,2017-03-07,113,9891,0,0
1,1,0,0,2017-03-08,114,9891,0,0
1,1,0,0,2017-03-14,115,9891,0,0
