id_comision,nombre
331,ASUNTOS ADMINISTRATIVOS
1087,ESPECIAL DE SEGURIDAD PÚBLICA Y CONVIVENCIA
336,"GANADERÍA, AGRICULTURA Y PESCA"
315,HACIENDA
1104,INTEGRADA: PRESUPUESTO CON HACIENDA
354,MEDIO AMBIENTE
347,SALUD PÚBLICA
311,CONSTITUCIÓN Y LEGISLACIÓN
321,DEFENSA NACIONAL
1112,ESPECIAL PARA EL SEGUIMIENTO DE LA SITUACIÓN CARCELARIA
927,"POBLACIÓN, DESARROLLO E INCLUSIÓN"
324,TRANSPORTE Y OBRAS PÚBLICAS
418,VIVIENDA Y ORDENAMIENTO TERRITORIAL
312,ASUNTOS INTERNACIONALES
317,EDUCACIÓN Y CULTURA
322,PRESUPUESTO
73,ASUNTOS INTERNACIONALES
1091,ESPECIAL DE SEGURIDAD Y CONVIVENCIA
1157,"ESPECIAL PARA LEGISLAR, INFORMAR Y ASESORAR EN LA GESTIÓN DEL PATRIMONIO PÚBLICO"
1113,"ESPECIAL CON FINES LEGISLATIVOS A PARTIR DE LOS LLAMADOS ""PAPELES DE PANAMA"" Y J"
1156,ESPECIAL DE VENIAS
1120,ESPECIAL: PARTIDOS POLÍTICOS. FINANCIACIÓN Y PUBLICIDAD ELECTORAL.
945,"INDUSTRIA, ENERGÍA, COMERCIO, TURISMO Y SERVICIOS"
1155,"INTEGRADA: Industria, Energía, Comercio, Turismo y Servicios y Medio Ambiente"
1116,PREINVESTIGADORA PARA ANALIZAR LA SITUACIÓN DE LA CORRUPCIÓN EN URUGUAY
314,ASUNTOS LABORALES Y SEGURIDAD SOCIAL
1117,ESPECIAL. DERECHO A LA ALIMENTACIÓN. ASESORAMIENTO.
1122,ESPECIAL PARA EL ANÁLISIS DEL ESTADO DE SITUACIÓN DE LA TRATA DE PERSONAS EN EL
1140,ESPECIAL PARA LA DESIGNACIÓN DE LOS INTEGRANTES DEL CONSEJO DIRECTIVO DE LA INST
1101,ESPECIAL PARA LA DESIGNACIÓN DEL COMISIONADO PARLAMENTARIO
1097,"ESPECIAL RIO DE LA PLATA,  FRENTE MARÍTIMO Y ANTÁRTIDA"
1121,ESPECIAL:SOBRE TENENCIA RESPONSABLE Y BIENESTAR ANIMAL
824,"INDUSTRIA, ENERGÍA Y MINERÍA"
1130,ESPECIAL DE DEPORTE
218,SALUD PÚBLICA Y ASISTENCIA SOCIAL
430,CONSTITUCIÓN Y LEGISLACIÓN
1163,ESPECIAL DE VENIAS
1152,ESPECIAL PARA LA DESIGNACIÓN DE LOS MIEMBROS DEL CONSEJO DE COMUNICACIÓN AUDIOVI
1111,"ESPECIAL PARA VENIAS DE DESIGNACIÓN, ASCENSOS Y DESTITUCIONES"
1103,INVESTIGADORA. ANCAP. Situación económica y financiera (2000- 2015)
1124,SUBCOMISIÓN PARA EL ESTUDIO DE LOS PROYECTOS DE LEY DE PARTICIPACIÓN POLÍTICA
1137,Subcomisión para el estudio del proyecto de ley de Contrato de Seguros
1151,SUBCOMISIÓN PARA EL ESTUDIO DEL PROYECTO DE LEY GENERAL DE DERECHO INTERNACIONAL
