asistencias,camara,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id,id_legislador,id_legislatura,licencia,pasaje_presidencia
1,CSS,1,0,0,2015-04-07,0,2743,6,0,0
1,CSS,1,0,0,2015-04-07,1,2743,6,0,0
1,CSS,1,0,0,2015-04-14,2,2743,6,0,0
1,CSS,1,0,0,2015-04-15,3,2743,6,0,0
1,CSS,1,0,0,2015-05-05,4,2743,6,0,0
1,CSS,1,0,0,2015-05-12,5,2743,6,0,0
1,CSS,1,0,0,2015-05-13,6,2743,6,0,0
1,CSS,1,0,0,2015-05-13,7,2743,6,0,0
1,CSS,1,0,0,2015-05-19,8,2743,6,0,0
1,CSS,1,0,0,2016-10-25,9,2743,6,0,0
1,CSS,1,0,0,2016-10-27,10,2743,6,0,0
1,CSS,1,0,0,2017-09-18,11,2743,6,0,0
1,CSS,1,0,0,2017-11-14,12,2743,6,0,0
1,CSS,1,0,0,2017-11-15,13,2743,6,0,0
1,CSS,1,0,0,2018-03-13,14,2743,6,0,0
1,CSS,1,0,0,2018-03-14,15,2743,6,0,0
1,CSS,1,0,0,2018-04-10,16,2743,6,0,0
1,CSS,1,0,0,2018-04-24,17,2743,6,0,0
1,CSS,1,0,0,2018-06-05,18,2743,6,0,0
1,CSS,1,0,0,2018-06-06,19,2743,6,0,0
1,CSS,1,0,0,2018-09-24,20,2743,6,0,0
1,CSS,1,0,0,2018-09-25,21,2743,6,0,0
1,CSS,1,0,0,2018-11-15,22,2743,6,0,0
1,CSS,1,0,0,2019-04-02,23,2743,6,0,0
1,CSS,1,0,0,2019-04-03,24,2743,6,0,0
1,CSS,1,0,0,2015-02-15,25,5146,6,0,0
1,CSS,1,0,0,2015-03-03,26,5146,6,0,0
1,CSS,1,0,0,2015-03-10,27,5146,6,0,0
1,CSS,1,0,0,2015-03-17,28,5146,6,0,0
1,CSS,1,0,0,2015-03-18,29,5146,6,0,0
1,CSS,1,0,0,2015-04-07,30,5146,6,0,0
1,CSS,1,0,0,2015-04-07,31,5146,6,0,0
1,CSS,1,0,0,2015-04-14,32,5146,6,0,0
1,CSS,1,0,0,2015-04-15,33,5146,6,0,0
1,CSS,1,0,0,2015-05-05,34,5146,6,0,0
1,CSS,1,0,0,2015-05-12,35,5146,6,0,0
1,CSS,1,0,0,2015-05-13,36,5146,6,0,0
1,CSS,1,0,0,2015-05-13,37,5146,6,0,0
1,CSS,1,0,0,2015-05-19,38,5146,6,0,0
