cuerpo,detalle,fecha,id,id_comision,id_legislatura,id_proyecto,tipo
AG,Entrada a Asamblea General.,2015-04-15,0,,6,125032,CAMARA_ENTRADA
,(Auto insertado) Entrada a ,2015-04-15,1,,6,125032,CAMARA_ENTRADA
CSS,Entrada a Cámara de Senadores.,2016-08-11,2,,6,131186,CAMARA_ENTRADA
CSS,Se da curso.,2016-08-11,3,,6,131186,PEDIDO_INFORME_ENVIO
CSS,"Se da cuenta al Cuerpo. Tomo:555 Página:17 Diario:28          Texto del pedido de informes, pág. 18.-",2016-08-24,4,,6,131186,
CSS,Se recibe respuesta.  Organismos: TRIBUNAL CUENTAS,2016-09-22,5,,6,131186,
CSS,Respuesta. Tomo:557 Página:0 Diario:34          Organismos: TRIBUNAL CUENTAS,2016-10-04,6,,6,131186,PEDIDO_INFORME_RESPUESTA
CSS,Se archiva.,2016-10-04,7,,6,131186,
CSS,(Auto insertado) Entrada a CSS,2016-08-11,8,,6,131186,CAMARA_ENTRADA
CSS,(Auto insertado) Entrada a CSS,2016-08-11,9,,6,131186,CAMARA_ENTRADA
CSS,Entrada a Cámara de Senadores.,2016-11-01,10,,6,132477,CAMARA_ENTRADA
CSS,"Discusión. Tomo:558 Página:175 Diario:41          Intervenciones: Agazzi, Ernesto  Pag. ini:175 Pag. fin:175
Heber, Luis Alberto  Pag. ini:175 Pag. fin:176",2016-11-01,11,5146.0,6,132477,CAMARA_DISCUSION
CSS,"Se aprueba Declaración. Tomo:558 Página:176 Diario:41          1º.- Trasmitir al señor embajador de la República Italiana Sr. Gianni Piccato, su solidaridad con las autoridades de su país y especialmente con los familiares de las víctimas de los terremotos que se están sucediendo.-
2º.-Trasmitir su dolor por los hechos mencionados a las colectividades de italianos en el Uruguay.-
(28 en 28, unanimidad).-",2016-11-01,12,,6,132477,CAMARA_APRUEBA
CSS,(Auto insertado) Entrada a CSS,2016-11-01,13,,6,132477,CAMARA_ENTRADA
CSS,Entrada a Cámara de Senadores.,2016-11-23,14,,6,132804,CAMARA_ENTRADA
CSS,Se da cuenta al Cuerpo y pasa a comisión. Tomo:559 Página:211 Diario:46          HACIENDA,2016-11-23,15,315.0,6,132804,PASA_COMISION
CSS,Texto proyecto inicial. Tomo:559 Página:211 Diario:46,2016-11-23,16,,6,132804,
CSS,Se da cuenta en comisión. HACIENDA Nro. de Acta: 48.  Versión Taquigráfica: 1060,2016-11-24,17,315.0,6,132804,COMISION_ENTRADA
CSS,"Se ordena distribuido. HACIENDA Dist.1058/0 Proyecto de ley con exposición de motivos presentado por las señoras Senadoras Patricia Ayala, Constanza Moreira, Ivonne Passada, Daniela Payssé, Lucía Topolansjy y Mónica Xavier y los señores Senadores Ernesto Agazzi, Andrés Berterreche, Marcos Carámbula",2016-11-24,18,315.0,6,132804,
CSS,Tratamiento en comisión. HACIENDA Nro. de Acta: 56.  Versión Taquigráfica: 1157 Se resuelve que no pase al archivo.,2017-03-09,19,315.0,6,132804,COMISION_TRATAMIENTO
CSS,"Por resolución del Cuerpo continúa en Comisión. Tomo:563 Página:94 Diario:3          HACIENDA (22 en 24), pág. 113.-",2017-03-14,20,315.0,6,132804,
CSS,"Tratamiento en comisión. HACIENDA Nro. de Acta: 60.  Versión Taquigráfica: 1215 Se reciben especialmente invitados por la Oficina de Planeamiento y Presupuesto: Director contador Álvaro García, Subdirector contador Martín Dibarboure y Asesora contadora Lucía Wainer.",2017-04-20,21,315.0,6,132804,COMISION_TRATAMIENTO
