asistencias,citaciones,cuerpo,id_legislador,informes_total,lema,nombre,proyectos_total
414,454,REPRESENTANTE,149,331,PARTIDO COLORADO,"Pasquet Iribarne, Ope",57
376,492,REPRESENTANTE,196,157,PARTIDO COLORADO,"Viera Duarte, Tabaré",31
558,665,SENADO,197,375,PARTIDO NACIONAL,"Heber, Luis Alberto",31
359,463,REPRESENTANTE,260,244,PARTIDO NACIONAL,"Gandini, Jorge",42
364,446,,277,149,,"Carámbula Volpi, Marcos Gustavo",16
31,40,,290,19,,"Moreira, Carlos",1
189,268,,320,41,,"Sosa Acosta, Heriberto",11
549,627,SENADO,327,434,PARTIDO INDEPENDIENTE,"Mieres, Pablo",62
15,20,,382,7,,"Antía, Enrique",2
215,411,REPRESENTANTE,405,157,PARTIDO NACIONAL,"Trobo, Jaime Mario",56
754,788,SENADO,408,368,PARTIDO FRENTE AMPLIO,"Martínez Huelmo, Rubén",18
20,23,,414,3,,"Beramendi, Carmen",1
562,643,SENADO,423,365,PARTIDO FRENTE AMPLIO,"Michelini, Rafael",18
30,41,,467,5,,"Piñeyrúa Olmos, Ana Lía",4
6,6,,509,2,,"Cersósimo, Gustavo",1
128,128,,566,14,,"Delsa, Paulino",1
207,474,SENADO,598,79,PARTIDO NACIONAL,"Cardoso, José Carlos",40
464,503,REPRESENTANTE,659,165,PARTIDO FRENTE AMPLIO,"De los Santos, Oscar",19
86,89,SENADO,759,71,PARTIDO FRENTE AMPLIO,"Baráibar, Carlos",3
394,543,SENADO,898,88,PARTIDO FRENTE AMPLIO,"Tourné, Daisy",18
612,679,SENADO,922,700,PARTIDO COLORADO,"Bordaberry Herrán, Juan Pedro",62
481,593,SENADO,1044,160,PARTIDO COLORADO,"Amorín, José",30
37,40,,1487,1,,"González, Sebastián",1
56,81,,2669,16,,"Berois Quinteros, Ricardo",3
120,329,REPRESENTANTE,2735,34,PARTIDO NACIONAL,"Rodríguez Servetto, Nelson",52
69,78,,2743,5,,"Alcorta, Ricardo",1
300,462,REPRESENTANTE,2873,73,PARTIDO NACIONAL,"Iturralde Viñas, Pablo",51
70,101,,2882,31,,"Semproni, Víctor",4
429,528,REPRESENTANTE,2901,197,PARTIDO NACIONAL,"Penadés, Gustavo",40
505,547,,2903,280,,"Pintado, Enrique",22
367,498,SENADO,2911,55,PARTIDO FRENTE AMPLIO,"Mujica, José",10
530,570,REPRESENTANTE,2912,364,PARTIDO INDEPENDIENTE,"Posada, Iván",19
332,404,REPRESENTANTE,2921,95,PARTIDO FRENTE AMPLIO,"Mahía, José Carlos",15
248,336,REPRESENTANTE,2924,65,PARTIDO FRENTE AMPLIO,"Pérez Brito, Darío",7
53,129,,2945,41,,"Montaner, Martha",19
375,415,SENADO,2965,225,PARTIDO NACIONAL,"García, Javier",53
41,42,,2993,2,,"Ramos Espíndola, Roque Fabián",2
410,470,REPRESENTANTE,3062,476,PARTIDO NACIONAL,"Abdala, Pablo",71
297,407,REPRESENTANTE,3063,76,PARTIDO NACIONAL,"Bacigalupe Aunés, Rubén Aníbal",39
183,197,SENADO,3157,53,PARTIDO FRENTE AMPLIO,"Castillo, Juan",10
37,41,,3234,2,,"Arbiza, Sergio Orlando",1
597,654,SENADO,3238,184,PARTIDO FRENTE AMPLIO,"Xavier, Mónica",24
378,460,REPRESENTANTE,3407,73,PARTIDO FRENTE AMPLIO,"De León, Walter",12
277,392,REPRESENTANTE,3412,203,PARTIDO COLORADO,"Montaner Formoso, Susana",58
532,641,SENADO,3948,266,PARTIDO NACIONAL,"Delgado, Alvaro",35
