cuerpo,email,id_legislador,lema,nombre
,eagazzi@parlamento.gub.uy,5146,,"Agazzi, Ernesto"
,,2743,,"Alcorta, Ricardo"
,secretaria.ministro@mrree.gub.uy,8883,,"Almagro Lemes, Luis Leonardo"
SENADO,valonso@parlamento.gub.uy,9891,PARTIDO NACIONAL,"Alonso, Verónica"
,nolivera@parlamento.gub.uy,11535,,"Álvarez López, María Dolores"
SENADO,jamorin@parlamento.gub.uy,1044,PARTIDO COLORADO,"Amorín, José"
,jamy@parlamento.gub.uy,9899,,"Amy, José A."
,,11533,,"Antía Behrens, María Mercedes"
,,3237,,"Argimón, Beatriz"
REPRESENTANTE,saristimunio@parlamento.gub.uy,9913,PARTIDO FRENTE AMPLIO,"Aristimuño, Saúl"
,rarregui@parlamento.gub.uy,2936,,"Arregui, Roque"
,,10282,,"Asiaín, Carmen"
SENADO,dastori@parlamento.gub.uy,479,PARTIDO FRENTE AMPLIO,"Astori, Danilo"
SENADO,caviaga@parlamento.gub.uy,11524,PARTIDO NACIONAL,"Aviaga Martínez, María Carol"
SENADO,payala@parlamento.gub.uy,9900,PARTIDO FRENTE AMPLIO,"Ayala, Patricia"
SENADO,cbaraibar@parlamento.gub.uy,759,PARTIDO FRENTE AMPLIO,"Baráibar, Carlos"
,constanzamoreira@parlamento.gub.uy,414,,"Beramendi, Carmen"
,aberterreche@parlamento.gub.uy,8267,,"Berterreche, Andrés"
SENADO,gbesozzi@parlamento.gub.uy,10003,PARTIDO NACIONAL,"Besozzi, Guillermo"
SENADO,dbianchi@parlamento.gub.uy,5131,PARTIDO COLORADO,"Bianchi, Daniel"
SENADO,ebonomi@parlamento.gub.uy,5244,PARTIDO FRENTE AMPLIO,"Bonomi, Eduardo"
SENADO,pbordaberry@parlamento.gub.uy,922,PARTIDO COLORADO,"Bordaberry Herrán, Juan Pedro"
,sbotana@parlamento.gub.uy,7354,,"Botana, Sergio"
SENADO,ccamy@parlamento.gub.uy,6900,PARTIDO NACIONAL,"Camy Antognazza, Carlos Daniel"
,mcarambula@parlamento.gub.uy,277,,"Carámbula Volpi, Marcos Gustavo"
REPRESENTANTE,fcarballo@parlamento.gub.uy,7604,PARTIDO FRENTE AMPLIO,"Carballo Da Costa, Felipe"
SENADO,jcardoso@parlamento.gub.uy,598,PARTIDO NACIONAL,"Cardoso, José Carlos"
,,11531,,"Cardozo Rufo, Virginia"
SENADO,charles.carrera@parlamento.gub.uy,10209,PARTIDO FRENTE AMPLIO,"Carrera Leal, Charles"
REPRESENTANTE,acastaingdebat@parlamento.gub.uy,8584,PARTIDO NACIONAL,"Castaingdebat, Armando"
