,Unnamed: 0,id_senador,nombre,email,citado,asistencia,falta_con_aviso,faltas_sin_aviso,con_licencia,pasaje_presidencia
0,0,5146,"Agazzi, Ernesto",eagazzi@parlamento.gub.uy,108,98,0,0,10,0
1,1,2743,"Alcorta, Ricardo",,23,23,0,0,0,0
2,2,8883,"Almagro Lemes, Luis Leonardo",secretaria.ministro@mrree.gub.uy,13,4,0,0,9,0
3,3,9891,"Alonso, Verónica",valonso@parlamento.gub.uy,224,132,21,0,71,0
4,4,11535,"Álvarez López, María Dolores",nolivera@parlamento.gub.uy,6,5,1,0,0,0
5,5,1044,"Amorín, José",jamorin@parlamento.gub.uy,224,187,2,1,34,0
6,6,9899,"Amy, José A.",jamy@parlamento.gub.uy,8,8,0,0,0,0
7,7,11533,"Antía Behrens, María Mercedes",,4,4,0,0,0,0
8,8,3237,"Argimón, Beatriz",,33,32,1,0,0,0
9,9,9913,"Aristimuño, Saúl",saristimunio@parlamento.gub.uy,34,33,1,0,0,0
10,10,2936,"Arregui, Roque",rarregui@parlamento.gub.uy,2,2,0,0,0,0
11,11,10282,"Asiaín, Carmen",,51,49,2,0,0,0
12,12,479,"Astori, Danilo",dastori@parlamento.gub.uy,1,1,0,0,0,0
13,13,11524,"Aviaga Martínez, María Carol",caviaga@parlamento.gub.uy,224,161,13,0,50,0
14,14,9900,"Ayala, Patricia",payala@parlamento.gub.uy,224,210,0,0,14,0
15,15,759,"Baráibar, Carlos",cbaraibar@parlamento.gub.uy,30,30,0,0,0,0
16,16,414,"Beramendi, Carmen",constanzamoreira@parlamento.gub.uy,6,6,0,0,0,0
17,17,8267,"Berterreche, Andrés",aberterreche@parlamento.gub.uy,89,89,0,0,0,0
18,18,10003,"Besozzi, Guillermo",gbesozzi@parlamento.gub.uy,203,163,16,1,23,0
19,19,5131,"Bianchi, Daniel",dbianchi@parlamento.gub.uy,183,146,12,0,25,0
20,20,5244,"Bonomi, Eduardo",ebonomi@parlamento.gub.uy,1,1,0,0,0,0
21,21,922,"Bordaberry Herrán, Juan Pedro",pbordaberry@parlamento.gub.uy,224,192,0,1,31,0
22,22,7354,"Botana, Sergio",sbotana@parlamento.gub.uy,22,16,1,0,5,0
23,23,6900,"Camy Antognazza, Carlos Daniel",ccamy@parlamento.gub.uy,203,181,3,0,19,0
24,24,277,"Carámbula Volpi, Marcos Gustavo",mcarambula@parlamento.gub.uy,168,128,3,0,37,0
25,25,7604,"Carballo Da Costa, Felipe",fcarballo@parlamento.gub.uy,23,23,0,0,0,0
26,26,598,"Cardoso, José Carlos",jcardoso@parlamento.gub.uy,203,110,7,0,86,0
27,27,11531,"Cardozo Rufo, Virginia",,2,2,0,0,0,0
28,28,10209,"Carrera Leal, Charles",charles.carrera@parlamento.gub.uy,82,82,0,0,0,0
29,29,8584,"Castaingdebat, Armando",acastaingdebat@parlamento.gub.uy,28,28,0,0,0,0
30,30,3157,"Castillo, Juan",jcastillo@parlamento.gub.uy,62,58,0,0,4,0
31,31,509,"Cersósimo, Gustavo",gcersosimo@parlamento.gub.uy,3,3,0,0,0,0
32,32,9969,"Coutinho Rodríguez, Germán",gcoutinho@parlamento.gub.uy,224,154,9,1,60,0
33,33,5304,"Da Silva, Sebastián",sdasilva@parlamento.gub.uy,23,20,3,0,0,0
34,34,11383,"De León, Leonardo",ldeleon@parlamento.gub.uy,224,179,1,0,44,0
35,35,3948,"Delgado, Alvaro",adelgado@parlamento.gub.uy,224,177,4,0,43,0
36,36,10161,"Draper Praderio, Alejandro",,13,13,0,0,0,0
37,37,9964,"Eguiluz, Cecilia",ceguiluz@parlamento.gub.uy,39,32,7,0,0,0
