,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,260,PLAN JUNTOS CONSTRUCCION VIVIENDAS LA CACHIMBA DEL PIOJO (MONTEVIDEO). INFORMES.,2017-06-22,135403,MVOTMA*
1,260,MSP. RECOLECCION RESIDUOS CONTAMINADOS. LICITACION. RESULTADO. INFORMES.,2016-10-31,132420,MSP*
2,260,MSP. RESIDUOS HOSPITALARIOS. CANTIDADES. INFORMES.,2016-10-31,132421,MSP*
3,260,ANP. PLANES DRAGADO. INFORMES.,2016-10-18,132119,MTOP*
4,260,PUERTO MONTEVIDEO. MUELLES C Y D. CONSTRUCCION. CONTRATO. INFORMES.,2016-10-18,132120,MTOP*
5,260,ANP. OBRA PUERTO PESQUERO CAPURRO (MONTEVIDEO). INFORMES.,2016-10-18,132122,MTOP*
6,260,PLAN CEIBAL. ASIGNACION PRESUPUESTAL. INFORMES.,2016-05-03,129371,MEF*
7,260,ANTEL - ARENA. CONSTRUCCION. FINANCIACION. INFORMES.,2016-04-12,129075,MIEM*
8,260,POLICIA CAMINERA. JEFE RELACIONES PUBLICAS. RELEVO. INFORMES.,2016-03-16,128904,MINISTERIO INTERIOR
9,260,POLIZAS INCENDIOS. IMPUESTO. DESTINO DIRECCION  BOMBEROS. INCUMPLIMIENTO. INFORMES.,2015-08-21,126143,MEF*
10,260,FONDES. ACTUACION AUDITORIA INTERNA. CONSULTA. INFORMES.,2015-08-11,125889,MEF*
11,260,FONDES . CONTROL TRIBUNAL CUENTAS RENDICION EJERCICIO 2014. INFORMES.,2015-08-11,125892,TRIBUNAL CUENTAS
12,260,DIRECCION NACIONAL BOMBEROS. POLIZAS INCENDIOS. RECURSOS. INFORMES.,2015-08-11,125893,MINISTERIO INTERIOR
13,260,"TERMINALES CONTENEDORES PUERTO MONTEVIDEO. RESPUESTA MTOP ROSSI, Victor. VERACIDAD. INFORMES.",2015-06-18,125085,MTOP*
