,id_senador,id_ficha,fecha_entrada
0,10003,142063,2018-12-05
1,10003,137958,2017-12-19
2,10003,137830,2017-12-06
3,10003,136210,2017-08-09
4,10003,135267,2017-06-13
5,10003,134583,2017-04-27
6,10003,134340,2017-04-05
7,10003,132925,2016-11-30
8,10003,132308,2016-10-27
9,10003,131814,2016-09-14
10,10003,127929,2015-12-15
11,10003,127178,2015-11-03
12,10003,126823,2015-10-06
13,10003,126518,2015-09-11
14,10003,125087,2015-06-18
15,10003,125053,2015-06-17
16,10003,125024,2015-06-16
17,10003,125025,2015-06-16
18,10003,123532,2015-03-03
