,id_senador,id_ficha,fecha_entrada
0,11383,141494,2018-10-09
1,11383,140668,2018-08-01
2,11383,140544,2018-07-17
3,11383,140424,2018-07-10
4,11383,139089,2018-04-03
5,11383,138859,2018-03-13
6,11383,138863,2018-03-13
7,11383,138864,2018-03-13
8,11383,138643,2018-03-06
9,11383,138322,2018-02-07
10,11383,137830,2017-12-06
11,11383,137658,2017-11-22
12,11383,137606,2017-11-15
13,11383,137709,2017-11-15
14,11383,137519,2017-11-14
15,11383,137375,2017-11-07
16,11383,137300,2017-11-01
17,11383,136846,2017-10-03
18,11383,136210,2017-08-09
19,11383,135668,2017-07-12
20,11383,134850,2017-05-16
21,11383,134776,2017-05-10
22,11383,134340,2017-04-05
23,11383,134288,2017-04-04
24,11383,133875,2017-03-14
25,11383,133794,2017-03-08
26,11383,132929,2016-11-30
27,11383,132804,2016-11-22
28,11383,132114,2016-10-18
29,11383,132117,2016-10-18
30,11383,131924,2016-10-04
31,11383,131836,2016-09-27
32,11383,131029,2016-08-03
33,11383,130766,2016-07-13
34,11383,130280,2016-06-15
35,11383,130547,2016-06-15
36,11383,130145,2016-06-08
37,11383,129868,2016-05-18
38,11383,129710,2016-05-17
39,11383,128446,2016-03-02
