,id_senador,id_ficha,fecha_entrada
0,7740,141497,2018-10-09
1,7740,141227,2018-09-13
2,7740,140535,2018-07-17
3,7740,140003,2018-06-05
4,7740,138818,2018-03-09
5,7740,137785,2017-12-05
6,7740,136188,2017-08-09
7,7740,134856,2017-05-16
8,7740,134769,2017-05-10
9,7740,134752,2017-05-09
10,7740,133923,2017-03-15
11,7740,132545,2016-11-08
12,7740,131635,2016-09-13
13,7740,131177,2016-08-11
14,7740,130179,2016-06-07
15,7740,129429,2016-05-03
16,7740,128594,2016-03-08
17,7740,127769,2015-12-08
18,7740,127438,2015-11-17
19,7740,126284,2015-09-01
20,7740,125820,2015-08-05
21,7740,125760,2015-08-04
22,7740,125024,2015-06-16
23,7740,125025,2015-06-16
24,7740,124528,2015-04-13
25,7740,123946,2015-04-07
26,7740,123532,2015-03-03
